model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
fan_wang,0.0,0.0,0.004,14.0,-0.00016365179946622337,-0.012804982504922187,-0.00016365173261812096,-0.012804982504922187,-6.070495955172242e-39,7.40763716991686e-46,1.1102230246251565e-16,5.566034074526902e-60,5.458479298216254
fan_wang,0.0,0.0,0.004,16.0,-0.00016581796208588184,-0.012804982499670325,-0.0001658179213403718,-0.012804982499670325,-1.4961973420362083e-38,4.561965344153527e-46,1.3877787807814457e-17,2.0535950416941768e-59,6.261132709033999
fan_wang,0.0,0.0,0.005,10.0,-0.00025452964572997695,-0.016009699474232635,-0.00025452962754001705,-0.016009699474232635,-1.4811066823557276e-39,3.75373284981122e-45,0.0,1.4944050004785533e-58,3.8512271394769404
fan_wang,0.0,0.0,0.005,12.0,-0.00025513046099206343,-0.016009699418394897,-0.0002551304405283586,-0.016009699418394897,-5.1811194319605964e-39,3.0531884062489853e-45,0.0,7.46761833343337e-60,4.656000106711888
fan_wang,0.0,0.0,0.005,14.0,-0.00025755137352686717,-0.016009699415749413,-0.00025755130667876475,-0.016009699415749413,-1.4799579084553168e-38,2.2621714759060316e-45,1.3877787807814457e-17,5.077004213631998e-59,5.459628791448208
fan_wang,0.0,0.0,0.005,16.0,-0.00026581263714070503,-0.016009699424315727,-0.000265812596395195,-0.016009699424315727,-3.6474661796739744e-38,1.393988249905746e-45,1.3877787807814457e-17,3.385686351089537e-59,6.262804583948096
fan_wang,0.0,0.0,0.006,10.0,-0.0003667089851165104,-0.019216731206971326,-0.0003667089669265505,-0.019216731206971326,-3.066301414351215e-39,9.344509775561039e-45,0.0,2.964141787501086e-58,3.8517869263143214
fan_wang,0.0,0.0,0.006,12.0,-0.00036848608930453155,-0.019216731145477655,-0.0003684860688408267,-0.019216731145477655,-1.0725663535671675e-38,7.601548800538698e-45,1.1102230246251565e-16,3.804497278345828e-58,4.656918144145973
fan_wang,0.0,0.0,0.006,14.0,-0.0003757099955678405,-0.019216731150365162,-0.0003757099287197381,-0.019216731150365162,-3.0635284423447737e-38,5.633692780679706e-45,0.0,1.9913648889155653e-59,5.46103560520045
fan_wang,0.0,0.0,0.006,16.0,-0.00040037026843156836,-0.0192167311776052,-0.0004003702276860583,-0.0192167311776052,-7.549808697509654e-38,3.47412663986728e-45,2.7755575615628914e-17,2.588774355590235e-58,6.264851528995291
fan_wang,0.1,0.02962962962962963,0.002,10.0,0.0021120775751238287,-0.0050326293558552735,-3.322322927064173e-05,-0.0050326293558552735,0.0002901756684514537,4.3620166304585614e-05,2.2215299868541707e-16,1.2468324983583301e-18,3.8903961357608656
fan_wang,0.1,0.02962962962962963,0.002,12.0,0.0021121681996603735,-0.005032629344486618,-3.322678953538143e-05,-0.005032629344486618,0.0002901884780942724,4.3620166203435474e-05,1.1123893155135927e-16,1.2852948387969296e-18,4.693150142282819
fan_wang,0.1,0.02962962962962963,0.002,14.0,0.002112184453717327,-0.0050326293437461846,-3.323685269979344e-05,-0.0050326293437461846,0.0002901920765360293,4.3620166227843806e-05,2.2247786310271853e-16,4.811147140404426e-19,5.495007214786164
fan_wang,0.1,0.02962962962962963,0.002,16.0,0.0021121597033279945,-0.005032629344046457,-3.3270429191473334e-05,-0.005032629344046457,0.00029019335104043,4.362016630589309e-05,6.938893903907228e-18,2.2198883312623695e-18,6.296351927250496
fan_wang,0.1,0.02962962962962963,0.004,10.0,0.002012380228054791,-0.010068194478518524,-0.00013292057633967945,-0.010068194478518524,0.0002909514312355032,8.726571629670047e-05,4.163336342344337e-17,1.7641726006245315e-18,3.8910211109915376
fan_wang,0.1,0.02962962962962963,0.004,12.0,0.0020123165307371262,-0.010068194458520347,-0.00013307845845862872,-0.010068194458520347,0.000290964661343761,8.726571611093143e-05,0.0,1.5332934166833742e-19,4.694171545274482
fan_wang,0.1,0.02962962962962963,0.004,14.0,0.0020117135296772405,-0.010068194459752787,-0.00013370777673988015,-0.010068194459752787,0.0002909698490848621,8.72657161659893e-05,1.1188630228279524e-16,2.1726353818624857e-19,5.496567156423709
fan_wang,0.1,0.02962962962962963,0.004,16.0,0.002009574984620389,-0.010068194460446121,-0.00013585514789907866,-0.010068194460446121,0.0002909761235294339,8.726571620874793e-05,2.2247786310271853e-16,1.765161384590181e-18,6.298614771427559
fan_wang,0.1,0.02962962962962963,0.006,10.0,0.001845939299507546,-0.015109632625194899,-0.00029936150488692453,-0.015109632625194899,0.0002922451692443255,0.00013096204643726938,2.7755575615628914e-17,2.395080882144226e-18,3.892063918619505
fan_wang,0.1,0.02962962962962963,0.006,12.0,0.001844278595969977,-0.015109632597262149,-0.00030111639322577804,-0.015109632597262149,0.0002922629119621508,0.00013096204624127774,1.1102230246251565e-16,1.0260614640240668e-18,4.695876615531359
fan_wang,0.1,0.02962962962962963,0.006,14.0,0.0018371490080389824,-0.0151096326047384,-0.00030827229837813823,-0.0151096326047384,0.00029228493972008606,0.00013096204620682307,4.449557262054371e-16,5.963111948670274e-19,5.499172676007332
fan_wang,0.1,0.02962962962962963,0.006,16.0,0.0018127116749490544,-0.015109632636110051,-0.0003327184575704135,-0.015109632636110051,0.00029234397948194166,0.00013096204613571584,2.237726045655905e-16,1.371419323662774e-18,6.302396741807391
fan_wang,0.2,0.05925925925925926,0.002,10.0,0.017377407458320226,-0.0038005005897086457,-2.659010094446801e-05,-0.0038005005897086457,0.0025214999593940186,6.201333919954018e-05,2.2215299868541707e-16,1.009663273127126e-18,3.9180297811874074
fan_wang,0.2,0.05925925925925926,0.002,12.0,0.017378054845279343,-0.0038005005847333052,-2.6593432092651692e-05,-0.0038005005847333052,0.002521595145449012,6.201333916692228e-05,2.220446049250313e-16,1.5178830414797062e-18,4.718212620991207
fan_wang,0.2,0.05925925925925926,0.002,14.0,0.01737822687827321,-0.0038005005833862075,-2.660337746947586e-05,-0.0038005005833862075,0.002521621809847116,6.2013339202708e-05,2.220446049250313e-16,4.897265273971182e-18,5.518408114410284
fan_wang,0.2,0.05925925925925926,0.002,16.0,0.017378254546905475,-0.003800500580476763,-2.663668761571092e-05,-0.003800500580476763,0.0025216308917260827,6.201333944453561e-05,2.2247786310271853e-16,9.028587400127486e-18,6.318583182094269
fan_wang,0.2,0.05925925925925926,0.004,10.0,0.017297608069635474,-0.00760324820194625,-0.00010638948962922098,-0.00760324820194625,0.002522663617162061,0.00012406328797602301,1.1443916996305594e-16,1.463672932855431e-18,3.9186580840422556
fan_wang,0.2,0.05925925925925926,0.004,12.0,0.017298103255901524,-0.007603248193526051,-0.00010654502147047079,-0.007603248193526051,0.0025227595544976204,0.0001240632878740616,2.2247786310271853e-16,1.734723475976807e-18,4.719239903948212
fan_wang,0.2,0.05925925925925926,0.004,14.0,0.017297661889573428,-0.007603248194900929,-0.00010716836616925934,-0.007603248194900929,0.002522789324555293,0.00012406328793959425,0.0,2.2061915819741345e-18,5.519976842781496
fan_wang,0.2,0.05925925925925926,0.004,16.0,0.017295594273378612,-0.007603248197969729,-0.00010929696114257356,-0.007603248197969729,0.0025228082457774683,0.00012406328829753883,2.2247786310271853e-16,1.3457325084263911e-18,6.320858111466402
fan_wang,0.2,0.05925925925925926,0.006,10.0,0.017164327629488184,-0.011410491012991311,-0.00023966992977651064,-0.011410491012991311,0.002524604767428,0.00018618647466694407,0.0,2.3310346708438345e-18,3.9197064557233574
fan_wang,0.2,0.05925925925925926,0.006,12.0,0.017163242951789667,-0.011410491002730843,-0.00024140532558232855,-0.011410491002730843,0.002524709444235575,0.00018618647446539609,4.449557262054371e-16,7.222975704331989e-18,4.720954810591275
