model,ell_over_ell_ext,real_axis_peak_M,ringdown_frequency_M,ringdown_damping_M,quality_factor,peak_ringdown_separation,linewidth_detuning,robust_linewidth_detuning,qnm_resonance_aligned,controls_preserve_alignment,maximum_control_shift,fit_residual,potential_peak_radius_M,schwarzschild_relative_error
fan_wang,0.6,0.50625,0.43900967928323376,0.09521229155502595,2.3054254451460046,0.06724032071676622,0.7062147084014472,0.8459614695561034,True,True,0.01694853610999152,0.06594791805918071,2.127563229190628,0.0020843789011331807
fan_wang,0.9,0.5375,0.48622102662235034,0.08579249047884396,2.8337038819397034,0.05127897337764964,0.5977093460213141,0.6012192613167091,True,True,0.01668456805515638,0.08479088534107825,1.5526753912428755,0.0020843789011331807
fan_wang,0.97,0.55,0.5167890045535338,0.07674560334813584,3.3668964866251634,0.03321099544646622,0.43274134279475857,0.5328516390096864,True,True,0.01288299500948997,0.0891481308758873,1.378915690541979,0.0020843789011331807
hayward,0.6,0.4875,0.36462341105158086,0.08364944880331567,2.1794728851645946,0.12287658894841913,1.4689467857383969,1.4689467857383969,False,True,0.009816312305590697,0.0302992293099573,2.766417375744082,0.0020843789011331807
hayward,0.9,0.60625,0.37444323670471114,0.07505248844760308,2.4945424492228785,0.23180676329528882,3.0885953029674917,3.4312764597918113,False,True,0.012631952478389046,0.05617223884397195,2.522692692357602,0.0020843789011331807
hayward,0.97,0.6125,0.3784217747652361,0.07471285714330643,2.5325077184465505,0.23407822523476396,3.133038063124523,3.614598833331166,False,True,0.01903200534199565,0.06901213215511143,2.438725962217316,0.0020843789011331807
