model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,delta_k_real,delta_k_imag,k_metric_real,k_metric_imag
fan_wang,0.5,0.14814814814814814,0.003,0.3100723668543024,-2.5696325932453044e-05,-0.001738858888386318,0.3100466705283699,-0.001738858888386318,1.2021268107394634e-08,1.659917983076349e-08,0.048,50.91161142301607,12.727769326921168,-2.5696325932453044e-05,-0.001738858888386318,0.3100466705283699,-0.001738858888386318
fan_wang,0.5,0.14814814814814814,0.004,0.3100723668543024,-4.4605099524255574e-05,-0.0023189147287904534,0.31002776175477814,-0.0023189147287904534,6.694738567059735e-08,9.244213539018115e-08,0.064,50.91161142301607,12.727769326921168,-4.4605099524255574e-05,-0.0023189147287904534,0.31002776175477814,-0.0023189147287904534
fan_wang,0.5,0.14814814814814814,0.005,0.3100723668543024,-6.614637126032724e-05,-0.002899344432087362,0.31000622048304205,-0.002899344432087362,2.546594958890744e-07,3.516383404902723e-07,0.08,50.91161142301607,12.727769326921168,-6.614637126032724e-05,-0.002899344432087362,0.31000622048304205,-0.002899344432087362
fan_wang,0.5,0.14814814814814814,0.006,0.3100723668543024,-8.596241560462446e-05,-0.003480241753732436,0.3099864044386978,-0.003480241753732436,7.594344177489619e-07,1.0486404892781388e-06,0.096,50.91161142301607,12.727769326921168,-8.596241560462446e-05,-0.003480241753732436,0.3099864044386978,-0.003480241753732436
fan_wang,0.6,0.17777777777777776,0.002,0.5355710155253514,-7.900024325733736e-06,-0.0006489978846971267,0.5355631155010256,-0.0006489978846971267,1.17744242794187e-09,1.625833350293306e-09,0.032,46.47571199959194,11.618807528723208,-7.900024325733736e-06,-0.0006489978846971267,0.5355631155010256,-0.0006489978846971267
fan_wang,0.6,0.17777777777777776,0.004,0.5355710155253514,-3.013685179271603e-05,-0.0012984390799329604,0.5355408786735586,-0.0012984390799329604,6.655412548368966e-08,9.189911476170007e-08,0.064,46.47571199959194,11.618807528723208,-3.013685179271603e-05,-0.0012984390799329604,0.5355408786735586,-0.0012984390799329604
fan_wang,0.6,0.17777777777777776,0.006,0.5355710155253514,-5.353436248453846e-05,-0.0019487673640651755,0.5355174811628668,-0.0019487673640651755,7.535793348305704e-07,1.0405556871243145e-06,0.096,46.47571199959194,11.618807528723208,-5.353436248453846e-05,-0.0019487673640651755,0.5355174811628668,-0.0019487673640651755
fan_wang,0.7,0.20740740740740737,0.002,0.8499984846800578,-4.790028909152915e-06,-0.000306517828636736,0.8499936946511486,-0.000306517828636736,1.1799417182791493e-09,1.629284414638074e-09,0.032,43.02813037909257,10.756922411690395,-4.790028909152915e-06,-0.000306517828636736,0.8499936946511486,-0.000306517828636736
fan_wang,0.7,0.20740740740740737,0.004,0.8499984846800578,-1.770810445349027e-05,-0.0006132641492812512,0.8499807765756043,-0.0006132641492812512,6.608292678714896e-08,9.124847525928095e-08,0.064,43.02813037909257,10.756922411690395,-1.770810445349027e-05,-0.0006132641492812512,0.8499807765756043,-0.0006132641492812512
fan_wang,0.7,0.20740740740740737,0.006,0.8499984846800578,-2.5692006707983592e-05,-0.0009204676310278946,0.8499727926733498,-0.0009204676310278946,7.475808768653745e-07,1.032272910167497e-06,0.096,43.02813037909257,10.756922411690395,-2.5692006707983592e-05,-0.0009204676310278946,0.8499727926733498,-0.0009204676310278946
fan_wang,0.8,0.23703703703703705,0.001,1.2679851066497514,-5.129572283027074e-07,-5.356490802233726e-05,1.2679845936925231,-5.356490802233726e-05,1.6174724895010112e-11,2.233434649225915e-11,0.016,40.24911250616011,10.06217635394694,-5.129572283027074e-07,-5.356490802233726e-05,1.2679845936925231,-5.356490802233726e-05
fan_wang,0.8,0.23703703703703705,0.002,1.2679851066497514,-2.0234733791820984e-06,-0.00010714133010909357,1.2679830831763723,-0.00010714133010909357,1.2607556820379525e-09,1.740873766547822e-09,0.032,40.24911250616011,10.06217635394694,-2.0234733791820984e-06,-0.00010714133010909357,1.2679830831763723,-0.00010714133010909357
