omega_M,k_static_reference,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,metric_ratio_fit_rms,metric_ratio_static_fit_rms,delta_k_real,delta_k_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.002,1.566386281514544,-0.23414333276507662,0.0009173036919124095,-0.2339363111456923,0.0,4.2240582757760705e-06,1.6475576713147442e-09,-3.5318550944686516e-05,-0.0009173036919124095,1.5663509629635992,-0.0009173036919124095,2.8897842559497878e-09,3.990265262221059e-09,0.032
0.004,1.566386281514544,-0.23403857239215148,0.0018355584726907409,-0.2339363111456923,0.0,4.165323066215163e-06,1.6475576713147442e-09,-0.00014007892386988123,-0.0018355584726907409,1.566246202590674,-0.0018355584726907409,6.162499395121731e-08,8.509288267488954e-08,0.064
0.006,1.566386281514544,-0.23387512301631114,0.0027557162703043467,-0.2339363111456923,0.0,3.5998265880274165e-06,1.6475576713147442e-09,-0.00030352829971017797,-0.0027557162703043467,1.5660827532148338,-0.0027557162703043467,6.271214719553039e-07,8.659404312189871e-07,0.096
