ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
0.6,0.1,0,0.3809152797680026,-5.558297815899671e-07,0.3809152797684081
0.6,0.2,0,0.3798279876055986,-0.000175917107016893,0.3798280283435483
0.6,0.3,0,0.09194549847002455,-0.011432606184975552,0.0926535437696909
0.6,0.4,0,-0.5536602407974027,-0.3671964176120263,0.6643589928246201
0.6,0.425,0,-0.6194033460590459,-0.6504193467812913,0.8981680420592484
0.6,0.4625,0,-0.45129864167692507,-0.9764246177266456,1.0756744387044175
0.6,0.5,0,-0.2589290363539073,-1.0530244731421694,1.084391436199819
0.6,0.5375,0,-0.1699356002241612,-1.0628274319376956,1.0763272078242856
0.6,0.575,0,-0.10428321962853904,-1.0851363306494144,1.090135700723249
0.6,0.6,0,-0.05619275025463777,-1.0826625665533545,1.0841198541660773
0.6,0.7,0,0.0037511415817194083,-1.0198849934247698,1.0198918917592241
0.6,0.8,0,0.0024310451175960923,-1.0033288461282512,1.003331791310039
0.6,0.575,1,-0.10388742462281597,-1.0858651666945098,1.090823430824282
0.9,0.1,0,0.3811496100177365,-1.3300070705879463e-07,0.3811496100177597
0.9,0.2,0,0.3828872944835765,-6.503602538814046e-05,0.3828873000069833
0.9,0.3,0,0.10697136132638463,-0.006372924395509544,0.10716102980734563
0.9,0.4,0,-0.569594511111135,-0.33100646675880524,0.6587891833690661
0.9,0.5,0,-0.20490479597855354,-1.0048168667818516,1.025496421829111
0.9,0.525,0,-0.15854573070360045,-0.973853957593009,0.9866753667969544
0.9,0.5625,0,-0.16989635855548696,-0.9561048986445794,0.9710825659348312
0.9,0.6,0,-0.21931265645600562,-1.0357697019503949,1.0587336382491113
0.9,0.6375,0,-0.09083020671456665,-1.1721282324930775,1.1756422584524413
0.9,0.675,0,0.024515593586931617,-1.0930758638155922,1.0933507481065363
0.9,0.7,0,0.030998416212486002,-1.048902701866425,1.0493606528693409
0.9,0.8,0,0.008990679830692072,-1.0020808776236865,1.0021212090475262
0.9,0.6375,1,-0.08946281391687039,-1.1733229561003016,1.1767286664247942
0.97,0.1,0,0.3812180643043427,-3.929238978628291e-08,0.3812180643043447
0.97,0.2,0,0.3837969889499516,-3.32518657022076e-05,0.3837969903904092
0.97,0.3,0,0.1117236901992461,-0.004616511559237799,0.11181902848224759
0.97,0.4,0,-0.5826305255080046,-0.3157163009860069,0.6626727034985073
0.97,0.5,0,-0.18059862608018803,-0.9997194878329734,1.0159010375499546
0.97,0.6,0,-0.22764433493587397,-0.9538566505859911,0.9806449169273871
0.97,0.625,0,-0.28185854357660456,-1.0845728125093321,1.1205991362755585
0.97,0.6625,0,-0.008700081933743841,-1.2240204192709367,1.2240513380646474
0.97,0.7,0,0.058738446375637465,-1.0707217731958516,1.0723317213802324
0.97,0.7375,0,0.0366280735314341,-1.0185160933633113,1.0191744935047606
0.97,0.775,0,0.01951401264797021,-1.0030183053287414,1.0032081127633314
0.97,0.8,0,0.012378581640560549,-0.9996128818461978,0.9996895232202309
0.97,0.6625,1,-0.0062779014189778826,-1.2243331198801366,1.22434921508598
