ell_over_ell_ext,real_axis_peak_M,ringdown_frequency_M,ringdown_damping_M,quality_factor,peak_ringdown_separation,linewidth_detuning,robust_linewidth_detuning,qnm_resonance_aligned,controls_preserve_alignment,maximum_control_shift,fit_residual,potential_peak_radius_M,schwarzschild_relative_error
0.6,0.575,0.3676923997053438,0.08045669098136785,2.2850330732001765,0.20730760029465617,2.5766359238247127,2.5909845761274872,False,True,0.013321313120623448,0.04584519631079601,2.709675539940639,0.0020843788919429882
0.9,0.6375,0.39335000010956767,0.07693401911313394,2.5564113551063405,0.2441499998904323,3.1734985732566745,3.713955953062781,False,True,0.02342037300043465,0.081809010941844,2.317161699332894,0.0020843788919429882
0.97,0.6625,0.390858859963121,0.08350294321221927,2.3403897211728775,0.271641140036879,3.253072641362045,3.6421407681427014,False,True,0.016393744698445147,0.09120791433562468,2.158619854538289,0.0020843788919429882
