ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
0.6,0.1,0,0.3809152797680026,-5.558297815899671e-07,0.3809152797684081
0.6,0.2,0,0.3798279876055986,-0.000175917107016893,0.3798280283435483
0.6,0.3,0,0.09194549847002455,-0.011432606184975552,0.0926535437696909
0.6,0.4,0,-0.5536602407974027,-0.3671964176120263,0.6643589928246201
0.6,0.425,0,-0.6194033460590459,-0.6504193467812913,0.8981680420592484
0.6,0.4625,0,-0.45129864167692507,-0.9764246177266456,1.0756744387044175
0.6,0.5,0,-0.2589290363539073,-1.0530244731421694,1.084391436199819
0.6,0.5375,0,-0.1699356002241612,-1.0628274319376956,1.0763272078242856
0.6,0.575,0,-0.10428321962853904,-1.0851363306494144,1.090135700723249
0.6,0.6,0,-0.05619275025463777,-1.0826625665533545,1.0841198541660773
0.6,0.7,0,0.0037511415817194083,-1.0198849934247698,1.0198918917592241
0.6,0.8,0,0.0024310451175960923,-1.0033288461282512,1.003331791310039
0.6,0.575,1,-0.10388742462281597,-1.0858651666945098,1.090823430824282
