omega_M,match_radius_over_M,response_real,response_imag,static_response_real,correction_real,correction_imag,em_response_real,em_response_imag,basis_condition_number
0.002,10.0,-0.478360101199273,0.002111782494056434,-0.4783863552984835,2.62540992104765e-05,0.002111782494056434,-0.5251911684617142,0.0015456506337571674,4.027466549009862
0.002,12.0,-0.4785322001144748,0.0021117823921109197,-0.47855854538325715,2.6345268782368425e-05,0.0021117823921109197,-0.5248975668366153,0.0015456519967318866,4.834166519188674
0.002,14.0,-0.47859839816221483,0.0021117823763910776,-0.47862479540370406,2.639724148922884e-05,0.0021117823763910776,-0.5247097661057607,0.0015456522386721322,5.640296183500779
0.002,16.0,-0.47862759702163693,0.0021117823731469677,-0.47865404495208064,2.644793044370708e-05,0.0021117823731469677,-0.5245914427478028,0.0015456522420381341,6.445480912313797
0.004,10.0,-0.47828131516314887,0.004225167132909033,-0.4783863552984835,0.00010504013533463308,0.004225167132909033,-0.5252985001392175,0.0030923770533656803,4.028143444713603
0.004,12.0,-0.4784530239549366,0.004225166930339683,-0.47855854538325715,0.00010552142832054301,0.004225166930339683,-0.5250091628999216,0.0030923797603800707,4.835266903355699
0.004,14.0,-0.4785185928624716,0.004225166896871108,-0.47862479540370406,0.00010620254123244743,0.004225166896871108,-0.524824142501288,0.0030923802436990944,5.6419664896535275
0.004,16.0,-0.4785460389270113,0.00422516689237773,-0.47865404495208064,0.00010800602506932933,0.00422516689237773,-0.5247079711680968,0.0030923803477985734,6.447890124054485
0.006,10.0,-0.4781497726664985,0.006341757206535958,-0.4783863552984835,0.00023658263198500507,0.006341757206535958,-0.525477395245578,0.004641255663192179,4.029272975405644
0.006,12.0,-0.4783197426593143,0.0063417569076792135,-0.47855854538325715,0.00023880272394283253,0.0063417569076792135,-0.5251953214801779,0.004641259719801949,4.837103998586564
0.006,14.0,-0.47837984647947873,0.006341756859064823,-0.47862479540370406,0.00024494892422533,0.006341756859064823,-0.5250157298435111,0.004641260595520724,5.644756668443951
0.006,16.0,-0.47838944410006223,0.00634175685499945,-0.47865404495208064,0.000264600852018404,0.00634175685499945,-0.5249061960616201,0.004641260733441566,6.451917260240024
