model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition
hayward,0.95,0.731310340973526,0.001,0.5331517667648312,-5.76795142790262e-06,-0.0003775461758943124,0.5331459988134033,-0.0003775461758943124,1.2709687868603933e-10,1.7549762024759882e-10,0.016,33.941122722846906,8.485134076747245
hayward,0.95,0.731310340973526,0.002,0.5331517667648312,-2.305366948556936e-05,-0.0007553340668252597,0.5331287130953457,-0.0007553340668252597,1.4553315375814074e-09,2.00954755272114e-09,0.032,33.941122722846906,8.485134076747245
hayward,0.95,0.731310340973526,0.003,0.5331517667648312,-5.1640763987350305e-05,-0.0011336050608235174,0.5331001260008439,-0.0011336050608235174,1.3050858156831216e-08,1.8020855999210655e-08,0.048,33.941122722846906,8.485134076747245
hayward,0.95,0.731310340973526,0.004,0.5331517667648312,-9.06944141310988e-05,-0.0015126013882525045,0.5330610723507001,-0.0015126013882525045,7.059243627089488e-08,9.74752857921537e-08,0.064,33.941122722846906,8.485134076747245
hayward,0.95,0.731310340973526,0.005,0.5331517667648312,-0.00013803268323733808,-0.0018925645933153667,0.5330137340815939,-0.0018925645933153667,2.664051870592226e-07,3.678569988072398e-07,0.08,33.941122722846906,8.485134076747245
hayward,0.95,0.731310340973526,0.006,0.5331517667648312,-0.00018912394363099615,-0.002273737996665103,0.5329626428212002,-0.002273737996665103,7.919927039620872e-07,1.0935975473027201e-06,0.096,33.941122722846906,8.485134076747245
