model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition
hayward,0.1,0.07698003589195011,0.002,6.322263977041514e-05,-4.070829284530622e-05,-0.006362410000403408,2.2514346925108915e-05,-0.006362410000403408,1.1921868675205006e-09,1.646192733515469e-09,0.032,33.94112546618714,8.485155941209953
hayward,0.1,0.07698003589195011,0.004,6.322263977041514e-05,-0.00016128742957569777,-0.012728519440636259,-9.806478980528263e-05,-0.012728519440636259,6.975128355038317e-08,9.631380722364217e-08,0.064,33.94112546618714,8.485155941209953
hayward,0.1,0.07698003589195011,0.006,6.322263977041514e-05,-0.0003478646379152078,-0.019102029596133573,-0.00028464199814479265,-0.019102029596133573,7.899386189390297e-07,1.0907612303368025e-06,0.096,33.94112546618714,8.485155941209953
