model,ell_over_ell_ext,omega_M,strict_controls,delta_Rgg_real,delta_Rgg_imag,delta_Rgg_abs
bardeen,0.6,0.4125,0,-0.9312673563348703,-0.6997437865267583,1.164860616450631
bardeen,0.6,0.42500000000000004,0,-0.9039631033587257,-0.9464111005062754,1.3087563804602587
bardeen,0.6,0.4375,0,-0.7821623184325105,-1.1591525090137766,1.3983606228468584
bardeen,0.6,0.45000000000000007,0,-0.604730927223983,-1.2916529771474454,1.4262071755937276
bardeen,0.6,0.4625,0,-0.4258136537415187,-1.3399779568142662,1.406007892033625
bardeen,0.6,0.475,0,-0.27885693131287004,-1.3304069271099315,1.3593173948137798
bardeen,0.6,0.48750000000000004,0,-0.1716643668780794,-1.2921205623140786,1.3034738978631304
bardeen,0.6,0.5,0,-0.09869124597599135,-1.244627577785522,1.2485342483955133
bardeen,0.6,0.5125000000000001,0,-0.051180183499411724,-1.1979699577644052,1.199062730172648
bardeen,0.6,0.525,0,-0.021432643408906715,-1.156313398428177,1.1565120118649928
bardeen,0.6,0.5375,0,-0.003758449069218295,-1.1208406951391445,1.120846996614349
bardeen,0.6,0.55,0,0.005749020159049212,-1.0914267187165796,1.091441859908822
bardeen,0.6,0.5625,0,0.009676619290519065,-1.067492276429366,1.0675361339070653
bardeen,0.6,0.5750000000000001,0,0.009712753974857546,-1.0484221544695724,1.0484671437734212
bardeen,0.6,0.5875,0,0.006997018826074508,-1.0337730160297043,1.0337966951696083
bardeen,0.6,0.6,0,0.0024506890106523738,-1.0233561507078508,1.0233590851056222
bardeen,0.6,0.6125,0,-0.002874472513939963,-1.0171458799974027,1.0171499416447527
bardeen,0.6,0.625,0,-0.007566007384072537,-1.0148800820160295,1.0149082842013846
bardeen,0.6,0.6375,0,-0.010153590623841302,-1.0154766941768576,1.0155274549803741
bardeen,0.6,0.65,0,-0.010030319537141341,-1.0170415818378333,1.0170910414005323
bardeen,0.6,0.6625,0,-0.007917640028737877,-1.0179005485136465,1.017931341342827
bardeen,0.6,0.675,0,-0.005111141504264283,-1.0174688683452793,1.017481705889251
bardeen,0.6,0.6875,0,-0.0025484621949740105,-1.0160253210565031,1.0160285171625498
bardeen,0.6,0.7000000000000001,0,-0.0005957110872425453,-1.0140780849110298,1.0140782598835858
bardeen,0.6,0.7125,0,0.0007341207282074436,-1.0120204768593382,1.012020743125281
bardeen,0.6,0.725,0,0.0015597761884786898,-1.0100754582035396,1.0100766625196567
bardeen,0.6,0.7375,0,0.0020180542056017076,-1.0083424694947913,1.008344488917171
bardeen,0.6,0.75,0,0.0022239900574890226,-1.006850034982928,1.006852491220486
bardeen,0.6,0.7625000000000001,0,0.0022637560977549764,-1.0055911394183976,1.0055936874645053
bardeen,0.6,0.775,0,0.0021984892422181046,-1.0045432660417608,1.004545671786403
bardeen,0.6,0.7875,0,0.0020703106057642084,-1.0036787925157273,1.003680927751361
bardeen,0.6,0.8,0,0.0019077106711512526,-1.0029700399278672,1.0029718542177106
bardeen,0.9,0.1,0,0.32414539563911676,-1.0578903472668877e-07,0.324145395639134
bardeen,0.9,0.1125,0,0.3329585026704115,-2.7110352374126734e-07,0.33295850267052185
bardeen,0.9,0.125,0,0.3369770784551707,-6.492189282836236e-07,0.3369770784557961
bardeen,0.9,0.1375,0,0.33642100803773617,-1.4717827456142696e-06,0.33642100804095554
bardeen,0.9,0.15000000000000002,0,0.33147290129946005,-3.18873526325425e-06,0.33147290131479773
bardeen,0.9,0.1625,0,0.32228814582456633,-6.650336811131474e-06,0.3222881458931804
bardeen,0.9,0.17500000000000002,0,0.3089981253934383,-1.3426647934244862e-05,0.308998125685147
bardeen,0.9,0.1875,0,0.29170876020718906,-2.6361109054684473e-05,0.29170876139828816
bardeen,0.9,0.2,0,0.2704955143647937,-5.052039344295711e-05,0.2704955190826356
bardeen,0.9,0.21250000000000002,0,0.24539535800741663,-9.481283938428398e-05,0.24539537632372516
bardeen,0.9,0.225,0,0.21639562820151198,-0.0001747341937691771,0.2163956987483011
bardeen,0.9,0.23750000000000002,0,0.18341919090212622,-0.00031701798559519156,0.18341946486562927
bardeen,0.9,0.25,0,0.14630470250900351,-0.0005675186762959944,0.14630580321264078
bardeen,0.9,0.2625,0,0.10478006051845651,-0.0010046210826585855,0.10478487651264914
bardeen,0.9,0.275,0,0.05842629931977258,-0.0017621866835408895,0.05845286780057336
bardeen,0.9,0.2875,0,0.006628289976643886,-0.0030691486349275765,0.00730437549402792
