model,ell_over_ell_ext,ell_over_M,omega_M,static_response_over_M5,direct_ratio_zero_real,direct_ratio_real,direct_ratio_imag,dynamic_response_over_M5,finite_frequency_correction_over_M5,static_match_residual,dynamic_match_residual,maximum_omega_r
bardeen,0.0,0.0,0.002,2.972914488089336e-10,2.972914488089336e-10,0.000233817792962763,0.025602757268483958,0.000233817792962763,0.0002338174956713142,6.128689306664138e-11,1.2543556323489932e-10,0.032
bardeen,0.0,0.0,0.004,2.972914488089336e-10,2.972914488089336e-10,0.0009352873729473024,0.05122206017603998,0.0009352873729473024,0.0009352870756558536,6.128689306664138e-11,2.4857857334445575e-10,0.064
bardeen,0.0,0.0,0.006,2.972914488089336e-10,2.972914488089336e-10,0.002104479586637367,0.0768744656091214,0.002104479586637367,0.002104479289345918,6.128689306664138e-11,5.80688849007584e-10,0.096
bardeen,0.1,0.07698003589195011,0.002,0.0002947555714278117,0.0002947555714278117,0.0005247884846506941,0.025000183353947273,0.0005247884846506941,0.00023003291322288243,7.496711113214385e-11,1.4558686784546647e-10,0.032
bardeen,0.1,0.07698003589195011,0.004,0.0002947555714278117,0.0002947555714278117,0.0012149072819680991,0.05001660105614179,0.0012149072819680991,0.0009201517105402874,7.496711113214385e-11,3.35329227203509e-10,0.064
bardeen,0.1,0.07698003589195011,0.006,0.0002947555714278117,0.0002947555714278117,0.0023651838110696636,0.07506549843209039,0.0023651838110696636,0.002070428239641852,7.496711113214385e-11,3.780443560722985e-10,0.096
bardeen,0.2,0.15396007178390023,0.002,0.004705309930347312,0.004705309930347312,0.004924183433207425,0.023243635428946717,0.004924183433207425,0.00021887350286011343,6.054926456056098e-10,1.66233137460192e-10,0.032
bardeen,0.2,0.15396007178390023,0.004,0.004705309930347312,0.004705309930347312,0.005580833965137045,0.046502589432159534,0.005580833965137045,0.0008755240347897335,6.054926456056098e-10,6.134800541419674e-11,0.064
bardeen,0.2,0.15396007178390023,0.006,0.004705309930347312,0.004705309930347312,0.00667533762181586,0.06979219111589423,0.00667533762181586,0.0019700276914685483,6.054926456056098e-10,6.937148330193808e-10,0.096
bardeen,0.3,0.2309401076758503,0.002,0.02372915269508094,0.02372915269508094,0.02393008622126252,0.02048404596550437,0.02393008622126252,0.00020093352618157784,2.561037635434582e-09,8.147338499957168e-10,0.032
bardeen,0.3,0.2309401076758503,0.004,0.02372915269508094,0.02372915269508094,0.02453294712062864,0.040981944623017616,0.02453294712062864,0.0008037944255476978,2.561037635434582e-09,7.847310512263001e-10,0.064
bardeen,0.3,0.2309401076758503,0.006,0.02372915269508094,0.02372915269508094,0.025537812298714737,0.06150755854516368,0.025537812298714737,0.0018086596036337964,2.561037635434582e-09,1.6174197438168966e-09,0.096
bardeen,0.4,0.30792014356780045,0.002,0.07458735323262362,0.07458735323262362,0.07476460531731614,0.01696422773485257,0.07476460531731614,0.00017725208469251963,7.410268065832781e-09,2.734472539458072e-09,0.032
bardeen,0.4,0.30792014356780045,0.004,0.07458735323262362,0.07458735323262362,0.07529649218450866,0.03394038237058542,0.07529649218450866,0.0007091389518850411,7.410268065832781e-09,2.7259011093393536e-09,0.064
bardeen,0.4,0.30792014356780045,0.006,0.07458735323262362,0.07458735323262362,0.07618307805898701,0.050940399474287,0.07618307805898701,0.0015957248263633872,7.410268065832781e-09,3.529387791037381e-09,0.096
