omega_M,k_static_reference,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,metric_ratio_fit_rms,metric_ratio_static_fit_rms,delta_k_real,delta_k_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.002,0.0008532848533869888,-0.9676635474761665,0.004197630469709387,-0.9672615070080797,0.0,7.909224768685863e-06,6.230923899976757e-07,-1.5980359063935207e-05,-0.004197630469709387,0.0008373044943230536,-0.004197630469709387,1.3764691028538867e-09,1.9006529065791536e-09,0.032
0.004,0.0008532848533869888,-0.9676168204320411,0.008397751568013118,-0.9672615070080797,0.0,7.854570109504496e-06,6.230923899976757e-07,-6.270740318958374e-05,-0.008397751568013118,0.0007905774501974051,-0.008397751568013118,5.6030803763898524e-08,7.73683258230323e-08,0.064
0.006,0.0008532848533869888,-0.9675502200334385,0.012602855234078173,-0.9672615070080797,0.0,7.2923464141549414e-06,6.230923899976757e-07,-0.00012930780179213263,-0.012602855234078173,0.0007239770515948562,-0.012602855234078173,6.182544709541715e-07,8.536967192525391e-07,0.096
