omega_M,match_radius_over_M,response_real,response_imag,static_response_real,correction_real,correction_imag,em_response_real,em_response_imag,basis_condition_number
0.002,10.0,-0.966915719770433,0.004197631844095058,-0.966931726812893,1.6007042459964538e-05,0.004197631844095058,-0.0011885964752630734,0.0005022470050377601,3.9750025102046873
0.002,12.0,-0.9671407147257642,0.004197631420848766,-0.9671567216718263,1.6006946062074867e-05,0.004197631420848766,-0.0009001267304112642,0.0005022476807014933,4.791063502156974
0.002,14.0,-0.9672218182740443,0.004197631357650229,-0.9672378283246765,1.6010050632231376e-05,0.004197631357650229,-0.0007664675399284416,0.0005022478174921492,5.6025563237802
0.002,16.0,-0.9672557558447812,0.004197631343640429,-0.9672717884800078,1.6032635226648217e-05,0.004197631343640429,-0.0006977229404941518,0.0005022478616929483,6.411231502261276
0.004,10.0,-0.9668676789963958,0.008397754315668776,-0.966931726812893,6.404781649715918e-05,0.008397754315668776,-0.0012211334833767426,0.0010047653671489067,3.975673998771188
0.004,12.0,-0.9670925553337548,0.008397753468974256,-0.9671567216718263,6.416633807149186e-05,0.008397753468974256,-0.0009338506852807983,0.001004766716337267,4.792154403448972
0.004,14.0,-0.9671731696482823,0.00839775334202661,-0.9672378283246765,6.465867639426914e-05,0.00839775334202661,-0.0008009489454606868,0.0010047669785876404,5.604213552551233
0.004,16.0,-0.9672054228724777,0.00839775331222424,-0.9672717884800078,6.636560753014997e-05,0.00839775331222424,-0.0007327581019264408,0.0010047670475131366,6.413624176385358
0.006,10.0,-0.9667873872709377,0.012602859362595836,-0.966931726812893,0.00014433954195525178,0.012602859362595836,-0.0012753639924536465,0.0015078265508864494,3.976794498216238
0.006,12.0,-0.9670109559228244,0.012602858099619862,-0.9671567216718263,0.00014576574900193595,0.012602858099619862,-0.0009900850326380075,0.001507828571269592,4.793975658604781
0.006,14.0,-0.9670862780208335,0.01260285791683674,-0.9672378283246765,0.00015155030384306212,0.01260285791683674,-0.0008585787684253377,0.0015078289954492195,5.6069818760877235
0.006,16.0,-0.9671006469016759,0.012602857900573639,-0.9672717884800078,0.00017114157833197918,0.012602857900573639,-0.0007918230144845904,0.0015078290880187444,6.417623655349944
