ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,k_direct_real
0.8,0.6158402871356009,0.002,-0.8880775921238983,-1.573559168101262e-05,-0.0017884198955519298,-0.8880933277155793,-0.0017884198955519298,1.13508048998672e-09,1.5673392363829855e-09,0.032,1.9999989729502625,2.000025809477053,-0.8880933277155793
0.8,0.6158402871356009,0.003,-0.8880775921238983,-3.517171770124305e-05,-0.002683179943028,-0.8881127638415995,-0.002683179943028,1.2438667939538922e-08,1.7175532908754866e-08,0.048,1.9999989729502625,2.000025809477053,-0.8881127638415995
0.8,0.6158402871356009,0.004,-0.8880775921238983,-6.140324717237467e-05,-0.0035786000033225613,-0.8881389953710707,-0.0035786000033225613,6.966535011698405e-08,9.61951488174105e-08,0.064,1.9999989729502625,2.000025809477053,-0.8881389953710707
0.8,0.6158402871356009,0.005,-0.8880775921238983,-9.223758759253191e-05,-0.0044749005500935015,-0.8881698297114908,-0.0044749005500935015,2.6530808852964185e-07,3.6634210573422044e-07,0.08,1.9999989729502625,2.000025809477053,-0.8881698297114908
0.8,0.6158402871356009,0.006,-0.8880775921238983,-0.00012311818915242018,-0.0053723019931756,-0.8882007103130507,-0.0053723019931756,7.915589778353425e-07,1.0929986505880686e-06,0.096,1.9999989729502625,2.000025809477053,-0.8882007103130507
0.9,0.6928203230275509,0.002,-1.4522222591391,-3.555129990963709e-06,-0.0007200458877509297,-1.4522258142690911,-0.0007200458877509297,1.0921002686424766e-09,1.507991385805966e-09,0.032,1.9999986953009203,2.0000256846478788,-1.4522258142690911
0.9,0.6928203230275509,0.004,-1.4522222591391,-1.2681326823429439e-05,-0.0014411281433700052,-1.4522349404659236,-0.0014411281433700052,6.978707235508717e-08,9.636322503876851e-08,0.064,1.9999986953009203,2.0000256846478788,-1.4522349404659236
0.9,0.6928203230275509,0.006,-1.4522222591391,-1.3496646360556728e-05,-0.002164284728866675,-1.4522357557854606,-0.002164284728866675,7.92231291187014e-07,1.0939269927668758e-06,0.096,1.9999986953009203,2.0000256846478788,-1.4522357557854606
0.95,0.731310340973526,0.001,-1.8245014942811597,1.1312139625517794e-06,-0.00013679824534522532,-1.8245003630671972,-0.00013679824534522532,2.489378920927163e-11,3.437378488195457e-11,0.016,1.9999985394701365,2.0000256167966763,-1.8245003630671972
0.95,0.731310340973526,0.002,-1.8245014942811597,4.5493110281772395e-06,-0.0002736724130689051,-1.8244969449701316,-0.0002736724130689051,1.0646638219096877e-09,1.470106654407871e-09,0.032,1.9999985394701365,2.0000256167966763,-1.8244969449701316
0.95,0.731310340973526,0.003,-1.8245014942811597,1.0464977495050464e-05,-0.00041069889951884193,-1.8244910293036647,-0.00041069889951884193,1.2537697941816214e-08,1.731227528914925e-08,0.048,1.9999985394701365,2.0000256167966763,-1.8244910293036647
0.95,0.731310340973526,0.004,-1.8245014942811597,1.9726099044852022e-05,-0.0005479532320681209,-1.8244817681821148,-0.0005479532320681209,6.980112212573166e-08,9.638262521080051e-08,0.064,1.9999985394701365,2.0000256167966763,-1.8244817681821148
0.95,0.731310340973526,0.005,-1.8245014942811597,3.452696340749462e-05,-0.000685511278403655,-1.8244669673177523,-0.000685511278403655,2.657985157123629e-07,3.6701929627072994e-07,0.08,1.9999985394701365,2.0000256167966763,-1.8244669673177523
0.95,0.731310340973526,0.006,-1.8245014942811597,5.9423027853225474e-05,-0.0008234505462909491,-1.8244420712533065,-0.0008234505462909491,7.927714936182029e-07,1.0946729138477442e-06,0.096,1.9999985394701365,2.0000256167966763,-1.8244420712533065
0.99,0.762102355330306,0.002,-2.1743466273481347,1.2723204042664575e-05,-2.781382119789548e-05,-2.174333904144092,-2.781382119789548e-05,6.493298093916756e-10,8.966060967283646e-10,0.032,1.9999984061546296,2.0000255599133796,-2.174333904144092
0.99,0.762102355330306,0.004,-2.1743466273481347,5.241628203813464e-05,-5.583310722001209e-05,-2.1742942110660963,-5.583310722001209e-05,7.021727705826631e-08,9.695725930935108e-08,0.064,1.9999984061546296,2.0000255599133796,-2.1742942110660963
0.99,0.762102355330306,0.006,-2.1743466273481347,0.00013298136649401881,-8.42523550240959e-05,-2.1742136459816406,-8.42523550240959e-05,7.927279670073076e-07,1.0946128115327766e-06,0.096,1.9999984061546296,2.0000255599133796,-2.1742136459816406
