model,ell_over_ell_ext,ell,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_real,delta_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual,k_direct_real,raw_delta_real
hayward,0.0,0.0,0.002,0.0,-0.9847396801628242,0.004267092867859208,-0.984329822962571,0.0,0.00040985720025321637,-0.004267092867859208,0.00040985720025321637,-0.004267092867859208,1.3648368050549144e-09,1.8845908238826228e-09,0.00040985720025321637,0.00040985720025321637
hayward,0.0,0.0,0.004,0.0,-0.9846936392989142,0.008536702669336338,-0.984329822962571,0.0,0.0003638163363431923,-0.008536702669336338,0.0003638163363431923,-0.008536702669336338,5.594840651768557e-08,7.725455024668689e-08,0.0003638163363431923,0.0003638163363431923
hayward,0.0,0.0,0.006,0.0,-0.9846281847898437,0.012811347680146206,-0.984329822962571,0.0,0.00029836182727271954,-0.012811347680146206,0.00029836182727271954,-0.012811347680146206,6.181490983435686e-07,8.535512188863533e-07,0.00029836182727271954,0.00029836182727271954
hayward,0.1,0.07698003589195011,0.002,0.07587273189470432,-0.9609336854805951,0.004211762119283973,-0.960538338682449,0.0,0.0003953467981461234,-0.004211762119283973,0.07626807869285045,-0.004211762119283973,1.2899255191958704e-09,1.781151994045271e-09,0.07626807869285045,0.0003953467981461234
hayward,0.1,0.07698003589195011,0.004,0.07587273189470432,-0.9608911529394939,0.008426023873889644,-0.960538338682449,0.0,0.00035281425704492,-0.008426023873889644,0.07622554615174924,-0.008426023873889644,5.565006287608511e-08,7.684259206438833e-08,0.07622554615174924,0.00035281425704492
hayward,0.1,0.07698003589195011,0.006,0.07587273189470432,-0.9608315451058521,0.012645286240797108,-0.960538338682449,0.0,0.0002932064234031362,-0.012645286240797108,0.07616593831810746,-0.012645286240797108,6.174771556489335e-07,8.526233885172589e-07,0.07616593831810746,0.0002932064234031362
hayward,0.2,0.15396007178390023,0.002,0.3032761620368903,-0.8893050260301952,0.004047180065009828,-0.8889494866194507,0.0,0.0003555394107445098,-0.004047180065009828,0.3036317014476348,-0.004047180065009828,1.0565599430913858e-09,1.4589166750730859e-09,0.3036317014476348,0.0003555394107445098
hayward,0.2,0.15396007178390023,0.004,0.3032761620368903,-0.8892730752749043,0.008096807726448538,-0.8889494866194507,0.0,0.0003235886554535661,-0.008096807726448538,0.30359975069234385,-0.008096807726448538,5.47405764499476e-08,7.55867571053744e-08,0.30359975069234385,0.0003235886554535661
hayward,0.2,0.15396007178390023,0.006,0.3032761620368903,-0.88923110188503,0.012151331883374531,-0.8889494866194507,0.0,0.0002816152655792381,-0.012151331883374531,0.3035577773024695,-0.012151331883374531,6.154151651986906e-07,8.497761555975299e-07,0.3035577773024695,0.0002816152655792381
hayward,0.3,0.2309401076758503,0.002,0.6815615483066595,-0.769216030497531,0.003777612598342799,-0.7689144347626525,0.0,0.0003015957348784237,-0.003777612598342799,0.6818631440415379,-0.003777612598342799,6.414584029807226e-10,8.857371193419897e-10,0.6818631440415379,0.0003015957348784237
hayward,0.3,0.2309401076758503,0.004,0.6815615483066595,-0.7692019060876666,0.0075575855517626975,-0.7689144347626525,0.0,0.0002874713250140548,-0.0075575855517626975,0.6818490196316735,-0.0075575855517626975,5.3116531700640194e-08,7.334424736295224e-08,0.6818490196316735,0.0002874713250140548
hayward,0.3,0.2309401076758503,0.006,0.6815615483066595,-0.7691896398654628,0.011342280539297162,-0.7689144347626525,0.0,0.0002752051028103164,-0.011342280539297162,0.6818367534094698,-0.011342280539297162,6.117762002536695e-07,8.447514083761033e-07,0.6818367534094698,0.0002752051028103164
hayward,0.4,0.30792014356780045,0.002,1.2096308923417791,-0.599584222528227,0.0034102939511634627,-0.5993321444139988,0.0,0.0002520781142281159,-0.0034102939511634627,1.2098829704560072,-0.0034102939511634627,5.566492136169195e-11,7.686310802776227e-11,1.2098829704560072,0.0002520781142281159
hayward,0.4,0.30792014356780045,0.004,1.2096308923417791,-0.5995954558815128,0.006822825057557963,-0.5993321444139988,0.0,0.0002633114675139048,-0.006822825057557963,1.209894203809293,-0.006822825057557963,5.0666284862658035e-08,6.996090314916146e-08,1.209894203809293,0.0002633114675139048
hayward,0.4,0.30792014356780045,0.006,1.2096308923417791,-0.5996254484595142,0.010239831773033265,-0.5993321444139988,0.0,0.000293304045515308,-0.010239831773033265,1.2099241963872944,-0.010239831773033265,6.062777574805237e-07,8.371590612488822e-07,1.2099241963872944,0.000293304045515308
hayward,0.5,0.3849001794597505,0.002,1.8859049961570225,-0.37884942875405836,0.0029556385859216125,-0.37861653606928225,0.0,0.00023289268477610925,-0.0029556385859216125,1.8861378888417986,-0.0029556385859216125,8.088458280103552e-10,1.1168686393177394e-09,1.8861378888417986,0.00023289268477610925
hayward,0.5,0.3849001794597505,0.004,1.8859049961570225,-0.3788939594963497,0.005913353976824475,-0.37861653606928225,0.0,0.00027742342706743583,-0.005913353976824475,1.88618241958409,-0.005913353976824475,4.723493787818313e-08,6.522283848340364e-08,1.88618241958409,0.00027742342706743583
hayward,0.5,0.3849001794597505,0.006,1.8859049961570225,-0.37897944196159067,0.008875224217468208,-0.37861653606928225,0.0,0.0003629058923084183,-0.008875224217468208,1.886267902049331,-0.008875224217468208,5.98536819703239e-07,8.264702373181304e-07,1.886267902049331,0.0003629058923084183
hayward,0.6,0.4618802153517006,0.002,2.7082651391371506,-0.10491957551381775,0.002427599457482494,-0.1046423629872096,0.0,0.00027721252660815876,-0.002427599457482494,2.7085423516637586,-0.002427599457482494,1.9645006900851607e-09,2.7126173329695205e-09,2.7085423516637586,0.00027721252660815876
hayward,0.6,0.4618802153517006,0.004,2.7082651391371506,-0.10500587928228855,0.004857076471687319,-0.1046423629872096,0.0,0.00036351629507895555,-0.004857076471687319,2.7086286554322294,-0.004857076471687319,4.258770428776043e-08,5.880585606574164e-08,2.7086286554322294,0.00036351629507895555
hayward,0.6,0.4618802153517006,0.006,2.7082651391371506,-0.10516097603921182,0.007290309896664201,-0.1046423629872096,0.0,0.0005186130520022231,-0.007290309896664201,2.7087837521891527,-0.007290309896664201,5.880008704944038e-07,8.119220121189287e-07,2.7087837521891527,0.0005186130520022231
hayward,0.7,0.5388602512436507,0.002,3.6739547731294246,0.22491756074633798,0.001844267234473467,0.22534293441714398,0.0,0.00042537367080600075,-0.001844267234473467,3.674380146800231,-0.001844267234473467,3.530664361986726e-09,4.875203858972655e-09,3.674380146800231,0.00042537367080600075
hayward,0.7,0.5388602512436507,0.004,3.6739547731294246,0.22478032833223152,0.003690171147456656,0.22534293441714398,0.0,0.0005626060849124592,-0.003690171147456656,3.674517379214337,-0.003690171147456656,3.640339981971481e-08,5.026645896745664e-08,3.674517379214337,0.0005626060849124592
hayward,0.7,0.5388602512436507,0.006,3.6739547731294246,0.2245403598080084,0.005539349847411734,0.22534293441714398,0.0,0.0008025746091355757,-0.005539349847411734,3.67475734773856,-0.005539349847411734,5.740835077729892e-07,7.927046712762092e-07,3.67475734773856,0.0008025746091355757
hayward,0.8,0.6158402871356009,0.002,4.779423746997526,0.6141444864337251,0.0012288926707072522,0.614869243983395,0.0,0.000724757549669941,-0.0012288926707072522,4.780148504547196,-0.0012288926707072522,5.55529441291995e-09,7.670848877946215e-09,4.780148504547196,0.000724757549669941
hayward,0.8,0.6158402871356009,0.004,4.779423746997526,0.613946318722188,0.0024591349480138237,0.614869243983395,0.0,0.0009229252612070749,-0.0024591349480138237,4.780346672258733,-0.0024591349480138237,2.832952418579891e-08,3.9117908549966426e-08,4.780346672258733,0.0009229252612070749
hayward,0.8,0.6158402871356009,0.006,4.779423746997526,0.6136048008424793,0.0036920776747941873,0.614869243983395,0.0,0.001264443140915783,-0.0036920776747941873,4.7806881901384415,-0.0036920776747941873,5.560300658976064e-07,7.677761591110475e-07,4.7806881901384415,0.001264443140915783
hayward,0.9,0.6928203230275509,0.002,6.020093685634705,1.0672941619031637,0.0006114734486519383,1.0685238173244396,0.0,0.0012296554212758437,-0.0006114734486519383,6.0213233410559805,-0.0006114734486519383,8.136002513350869e-09,1.123433631266377e-08,6.0213233410559805,0.0012296554212758437
hayward,0.9,0.6928203230275509,0.004,6.020093685634705,1.067023970702282,0.0012239525978307748,1.0685238173244396,0.0,0.00149984662215763,-0.0012239525978307748,6.021593532256862,-0.0012239525978307748,1.809945175845592e-08,2.4992043425960296e-08,6.021593532256862,0.00149984662215763
hayward,0.9,0.6928203230275509,0.006,6.020093685634705,1.0665624262774442,0.0018384443713101498,1.0685238173244396,0.0,0.001961391046995331,-0.0018384443713101498,6.0220550766817,-0.0018384443713101498,5.330928946845848e-07,7.361041070138463e-07,6.0220550766817,0.001961391046995331
hayward,0.95,0.731310340973526,0.002,6.689336353640181,1.3196717783163134,0.00031285976287221686,1.3212497565444552,0.0,0.0015779782281417631,-0.00031285976287221686,6.690914331868322,-0.00031285976287221686,9.522642764302805e-09,1.3149033720661015e-08,6.690914331868322,0.0015779782281417631
