model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition
fan_wang,0.8,0.23703703703703705,0.001,1.2679851066497514,-5.129572283027074e-07,-5.356490802233726e-05,1.2679845936925231,-5.356490802233726e-05,1.6174724895010112e-11,2.233434649225915e-11,0.016,40.24911250616011,10.06217635394694
fan_wang,0.8,0.23703703703703705,0.002,1.2679851066497514,-2.0234733791820984e-06,-0.00010714133010909357,1.2679830831763723,-0.00010714133010909357,1.2607556820379525e-09,1.740873766547822e-09,0.032,40.24911250616011,10.06217635394694
fan_wang,0.8,0.23703703703703705,0.003,1.2679851066497514,-4.33151181857269e-06,-0.00016074081311552007,1.2679807751379328,-0.00016074081311552007,1.2057349651584305e-08,1.6649001865773627e-08,0.048,40.24911250616011,10.06217635394694
fan_wang,0.8,0.23703703703703705,0.004,1.2679851066497514,-6.653196560252104e-06,-0.00021437532076881637,1.267978453453191,-0.00021437532076881637,6.55796952739505e-08,9.055360427648685e-08,0.064,40.24911250616011,10.06217635394694
fan_wang,0.8,0.23703703703703705,0.005,1.2679851066497514,-6.935036175707929e-06,-0.0002680556307324649,1.2679781716135756,-0.0002680556307324649,2.490806779454355e-07,3.439350099046537e-07,0.08,40.24911250616011,10.06217635394694
fan_wang,0.8,0.23703703703703705,0.006,1.2679851066497514,-9.377706721148211e-07,-0.00032179405431558196,1.2679841688790794,-0.00032179405431558196,7.416997445585541e-07,1.0241521385569262e-06,0.096,40.24911250616011,10.06217635394694
