model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
fan_wang,0.8,0.23703703703703705,0.001,10.0,1.2029421796417512,-5.35648761015306e-05,-5.078818656745199e-07,-5.35648761015306e-05,0.23501359563240357,2.6353804231660227e-06,8.899114524108741e-16,2.2280354644577116e-17,4.037876202858455
fan_wang,0.8,0.23703703703703705,0.001,12.0,1.2029547425661116,-5.356487670771237e-05,-5.092846839804821e-07,-5.356487670771237e-05,0.2350161217213683,2.635381550153415e-06,6.684427777288335e-16,3.0731920476406396e-17,4.8252987643024134
fan_wang,0.8,0.23703703703703705,0.001,14.0,1.202958291888326,-5.3564876354883495e-05,-5.09814139126874e-07,-5.3564876354883495e-05,0.23501683529440962,2.635380809856702e-06,1.6662594659381951e-15,1.1049381956326751e-16,5.617123886672158
fan_wang,0.8,0.23703703703703705,0.001,16.0,1.202959490586841,-5.356485329843785e-05,-5.097326234437816e-07,-5.356485329843785e-05,0.23501707618128517,2.635381711968421e-06,1.7772239894833365e-15,1.1492360195629445e-16,6.411290229829779
fan_wang,0.8,0.23703703703703705,0.002,10.0,1.2029406555350406,-0.00010714131426592388,-2.0319885762898338e-06,-0.00010714131426592388,0.2350137662837673,5.271330498213267e-06,1.3322676295501878e-15,2.211772431870429e-17,4.038032022561959
fan_wang,0.8,0.23703703703703705,0.002,12.0,1.2029532126886033,-0.00010714131546940564,-2.0391621922133396e-06,-0.00010714131546940564,0.23501629171136543,5.271331917189315e-06,1.7763568394002505e-15,7.880233192600276e-17,4.825556259298814
fan_wang,0.8,0.23703703703703705,0.002,14.0,1.2029567518215507,-0.00010714132525313502,-2.0498809143454366e-06,-0.00010714132525313502,0.23501700525390568,5.271337206069759e-06,5.551115123125783e-16,4.2934406030425976e-17,5.617518844719075
fan_wang,0.8,0.23703703703703705,0.002,16.0,1.202957918055988,-0.00010714132423794709,-2.082263476532731e-06,-0.00010714132423794709,0.23501724652433387,5.271336839363094e-06,8.95090418262362e-16,1.6386954582549651e-16,6.411864019937324
fan_wang,0.8,0.23703703703703705,0.003,10.0,1.202938111288744,-0.0001607408728183657,-4.576234872821772e-06,-0.0001607408728183657,0.2350140508357863,7.90841762310368e-06,1.1157603309187458e-15,8.673617379884035e-19,4.038291800201625
fan_wang,0.8,0.23703703703703705,0.003,12.0,1.2029506397279393,-0.00016074087450235197,-4.612122856295642e-06,-0.00016074087450235197,0.23501657556274783,7.90841578834911e-06,1.5582722720639762e-15,4.00703287193302e-17,4.825985597422237
fan_wang,0.8,0.23703703703703705,0.003,14.0,1.2029540817181301,-0.00016074086053841086,-4.719984334933258e-06,-0.00016074086053841086,0.2350172904924931,7.908416321922296e-06,4.577566798522237e-16,1.0388173226675065e-16,5.618177476250827
fan_wang,0.8,0.23703703703703705,0.003,16.0,1.2029549199570009,-0.0001607408981705305,-5.080362463605326e-06,-0.0001607408981705305,0.2350175376085194,7.908426877922814e-06,4.440892098500626e-16,4.949474949036157e-17,6.412821026503372
fan_wang,0.8,0.23703703703703705,0.004,10.0,1.202934531254015,-0.00021437511583854985,-8.156269601933275e-06,-0.00021437511583854985,0.23501444973217017,1.0547210454348033e-05,6.661338147750939e-16,3.7084152287924965e-17,4.0386556529539535
fan_wang,0.8,0.23703703703703705,0.004,12.0,1.202946934896448,-0.00021437511831923217,-8.316954347442618e-06,-0.00021437511831923217,0.23501697540450733,1.0547209724265372e-05,1.1102230246251565e-15,5.508259233909042e-17,4.8265870482906035
fan_wang,0.8,0.23703703703703705,0.004,14.0,1.2029498925359183,-0.00021437514714506278,-8.909166546722247e-06,-0.00021437514714506278,0.2350176991837434,1.054720334625614e-05,1.2412670766236366e-15,2.0816681711721685e-17,5.619100333247818
fan_wang,0.8,0.23703703703703705,0.004,16.0,1.2029490778293497,-0.00021437502165522204,-1.0922490114806394e-05,-0.00021437502165522204,0.23501797586571288,1.0547214354117429e-05,8.881784197001252e-16,5.637851296924623e-17,6.41416228364625
fan_wang,0.8,0.23703703703703705,0.005,10.0,1.2029298745736565,-0.00026805562779408376,-1.2812949960361308e-05,-0.00026805562779408376,0.23501496409124864,1.3188279385012436e-05,8.881784197001252e-16,3.576224061345498e-17,4.039123744817635
fan_wang,0.8,0.23703703703703705,0.005,12.0,1.202941868489957,-0.0002680556334837547,-1.3383360838448155e-05,-0.0002680556334837547,0.23501749633928842,1.3188280623799287e-05,6.661338147750939e-16,1.4051260155412137e-16,4.827360989216632
fan_wang,0.8,0.23703703703703705,0.005,14.0,1.2029431759230267,-0.00026805561895315577,-1.5625779438366294e-05,-0.00026805561895315577,0.23501825176867258,1.3188280322040669e-05,9.992007221626409e-16,1.5515838457795457e-17,5.620288188082935
fan_wang,0.8,0.23703703703703705,0.005,16.0,1.2029366998098316,-0.0002680556181200444,-2.3300509632839805e-05,-0.0002680556181200444,0.23501863069694262,1.318828140561834e-05,2.220446049250313e-16,1.2394474806149032e-16,6.415889238208435
fan_wang,0.8,0.23703703703703705,0.006,10.0,1.202924056757766,-0.0003217940048347856,-1.8630765850957687e-05,-0.0003217940048347856,0.23501559608391426,1.583219605838515e-05,1.1322097734007351e-15,1.273929709481672e-16,4.039696286565161
fan_wang,0.8,0.23703703703703705,0.006,12.0,1.2029349635673492,-0.0003217939859485597,-2.0288283446356914e-05,-0.0003217939859485597,0.23501814905253415,1.5832196309961688e-05,8.881784197001252e-16,1.9255430583342559e-16,4.828307905055615
fan_wang,0.8,0.23703703703703705,0.006,14.0,1.2029318359045684,-0.00032179401217113934,-2.6965797896627564e-05,-0.00032179401217113934,0.23501899091352446,1.583219798950708e-05,9.930136612989092e-16,2.2215299868541707e-17,5.621742033122357
fan_wang,0.8,0.23703703703703705,0.006,16.0,1.2029101341468944,-0.00032179395171105796,-4.986617257007886e-05,-0.00032179395171105796,0.23501964555339966,1.5832207764132633e-05,4.965068306494546e-16,9.020562075079397e-17,6.4180037488348916
