model,ell_over_ell_ext,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.3,0.002,10.0,-0.7686841659522258,0.0037776138698631806,5.323245237831564e-06,0.0037776138698631806,-0.07715369291378527,-0.0002672892899770402,2.220446049250313e-16,2.149118060276621e-18,3.9772254060710086
hayward,0.3,0.002,12.0,-0.7688442034822174,0.0037776134792140217,5.267489342819509e-06,0.0037776134792140217,-0.0775547596898861,-0.00026728985280895885,2.2215299868541707e-16,6.2849844686269085e-19,4.7922641607865275
hayward,0.3,0.002,14.0,-0.7689004668241612,0.0037776134203875017,5.2425273604495e-06,0.0037776134203875017,-0.07773855344672749,-0.0002672899714506343,2.220446049250313e-16,4.404571325722362e-20,5.603227098560772
hayward,0.3,0.002,16.0,-0.7689234663360729,0.003777613409307941,5.249428662201794e-06,0.003777613409307941,-0.07783231901448903,-0.00026729001698408287,1.3877787807814457e-17,1.4439365459437246e-19,6.411579055343715
hayward,0.3,0.004,10.0,-0.7686681752528066,0.007557588093094356,2.131394465698655e-05,0.007557588093094356,-0.07714865950194985,-0.0005347415661246411,1.1188630228279524e-16,2.7939250479261704e-19,3.977896579988627
hayward,0.3,0.004,12.0,-0.7688282610358734,0.007557587312073677,2.120993568677232e-05,0.007557587312073677,-0.07754943556456836,-0.0005347426963113302,3.3335590258932494e-16,2.0357682261539074e-18,4.793354928014621
hayward,0.3,0.004,14.0,-0.7688841192700776,0.007557587195496512,2.159008144408947e-05,0.007557587195496512,-0.07773306145504383,-0.0005347429580165233,2.2247786310271853e-16,1.2920470769906042e-18,5.604884268747472
hayward,0.3,0.004,16.0,-0.7689054811349678,0.007557587173595295,2.323462976727697e-05,0.007557587173595295,-0.07782675302474706,-0.0005347428938526303,2.2247786310271853e-16,9.952575855325562e-19,6.413971691537618
hayward,0.3,0.006,10.0,-0.7686412957370543,0.011342284339648137,4.819346040929595e-05,0.011342284339648137,-0.07714028024048226,-0.0008025198899346258,2.237726045655905e-16,1.3552527156068805e-19,3.9790165558279855
hayward,0.3,0.006,12.0,-0.7688003513576066,0.011342283173855883,4.911961395359654e-05,0.011342283173855883,-0.07754061194887829,-0.000802521626586155,2.220446049250313e-16,1.0842021724855044e-19,4.795175960753376
hayward,0.3,0.006,14.0,-0.7688510563181528,0.01134228300960173,5.4653033368934345e-05,0.01134228300960173,-0.07772410042118694,-0.0008025220160290322,2.7755575615628914e-17,7.934886020978422e-19,5.60765249587835
hayward,0.3,0.006,16.0,-0.7688546084221207,0.011342282990356792,7.410734261437124e-05,0.011342282990356792,-0.07781810167198289,-0.0008025221696127509,2.7755575615628914e-17,2.981555974335137e-19,6.417971108651574
hayward,0.2,0.002,10.0,-0.888657269975783,0.0040471814207734755,1.1164513240458085e-05,0.0040471814207734755,-0.022649026535165376,-0.00019060284392462918,1.1123893155135927e-16,4.79420648145934e-19,3.9750200129870707
hayward,0.2,0.002,12.0,-0.8888521666497631,0.0040471810031372235,1.1139328506937218e-05,0.0040471810031372235,-0.02285833494739317,-0.00019060326099754228,0.0,2.8306619437482698e-19,4.7907605614535225
