omega_M,match_radius_over_M,response_real,response_imag,static_response_real,correction_real,correction_imag,em_response_real,em_response_imag,basis_condition_number
0.002,10.0,-0.6094623091697154,0.002695654814082446,-0.6094850100469089,2.2700877193471136e-05,0.002695654814082446,-0.23256075268919946,0.0016338400214244153,4.012360809395882
0.002,12.0,-0.609638747382209,0.002695654650835322,-0.609661507272847,2.2759890637935598e-05,0.002695654650835322,-0.23188619207248326,0.0016338416675334422,4.822025831375949
0.002,14.0,-0.6097048854512273,0.0026956546251594056,-0.60972767989603,2.2794444802798353e-05,0.0026956546251594056,-0.23154713203917904,0.0016338420224532094,5.629894523488149
0.002,16.0,-0.6097334658915996,0.00269565461485545,-0.6097563009191881,2.283502758848588e-05,0.00269565461485545,-0.23136153436015736,0.0016338420904221038,6.436230224351411
0.004,10.0,-0.6093941840712607,0.005393183362373162,-0.6094850100469089,9.082597564824546e-05,0.005393183362373162,-0.23266125507562865,0.0032687183113379176,4.013036147933069
0.004,12.0,-0.6095703278669453,0.005393183036417774,-0.609661507272847,9.117940590164242e-05,0.005393183036417774,-0.23199065751753398,0.0032687216188685975,4.823123550554217
0.004,14.0,-0.6096358867574926,0.005393182986694778,-0.60972767989603,9.179313853746596e-05,0.005393182986694778,-0.23165416226597432,0.003268722315670436,5.631561225131057
0.004,16.0,-0.6096627396500776,0.005393182976554542,-0.6097563009191881,9.356126911053142e-05,0.005393182976554542,-0.23147052131059523,0.0032687224345530896,6.438634959793824
0.006,10.0,-0.6092804124088134,0.008094460588548513,-0.6094850100469089,0.00020459763809554943,0.008094460588548513,-0.2328287678212238,0.004905673661132343,4.01416307797147
0.006,12.0,-0.6094549703071542,0.008094460105421503,-0.609661507272847,0.0002065369656927274,0.008094460105421503,-0.23216490544166,0.004905678578114719,4.824956194443033
0.006,14.0,-0.6095151287925008,0.008094460038225892,-0.60972767989603,0.000212551103529246,0.008094460038225892,-0.23183334940188066,0.004905679528100046,5.634345380254626
0.006,16.0,-0.6095241288349357,0.008094460028088044,-0.6097563009191881,0.0002321720842524133,0.008094460028088044,-0.23165551570340845,0.004905679906228616,6.442654610232248
