model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition
fan_wang,0.7,0.20740740740740737,0.002,0.8499984846800578,-4.790028909152915e-06,-0.000306517828636736,0.8499936946511486,-0.000306517828636736,1.1799417182791493e-09,1.629284414638074e-09,0.032,43.02813037909257,10.756922411690395
fan_wang,0.7,0.20740740740740737,0.004,0.8499984846800578,-1.770810445349027e-05,-0.0006132641492812512,0.8499807765756043,-0.0006132641492812512,6.608292678714896e-08,9.124847525928095e-08,0.064,43.02813037909257,10.756922411690395
fan_wang,0.7,0.20740740740740737,0.006,0.8499984846800578,-2.5692006707983592e-05,-0.0009204676310278946,0.8499727926733498,-0.0009204676310278946,7.475808768653745e-07,1.032272910167497e-06,0.096,43.02813037909257,10.756922411690395
