model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
fan_wang,0.7,0.20740740740740737,0.002,10.0,0.7961795727550465,-0.0003065178362833265,-4.801712408131209e-06,-0.0003065178362833265,0.14952227746209573,1.3731637053981949e-05,2.2887833992611187e-16,1.441988889405721e-17,4.021031984309023
fan_wang,0.7,0.20740740740740737,0.002,12.0,0.7961903837035362,-0.00030651783770530017,-4.807980036769521e-06,-0.00030651783770530017,0.1495243591286785,1.3731637777875116e-05,0.0,5.45629523359034e-17,4.810369989339517
fan_wang,0.7,0.20740740740740737,0.002,14.0,0.7961934239745633,-0.00030651783532231747,-4.818748306489873e-06,-0.00030651783532231747,0.1495249463010265,1.373163764931129e-05,8.899114524108741e-16,4.4161113015091864e-17,5.603527052413978
fan_wang,0.7,0.20740740740740737,0.002,16.0,0.7961944201732943,-0.00030651784250701475,-4.851426299690154e-06,-0.00030651784250701475,0.14952514470699288,1.3731636355734933e-05,6.661338147750939e-16,5.986720534363663e-18,6.39872591460801
fan_wang,0.7,0.20740740740740737,0.004,10.0,0.7961651381714062,-0.0006132641608491696,-1.923629604838606e-05,-0.0006132641608491696,0.1495227143291894,2.7473508734054963e-05,8.881784197001252e-16,1.496198998029996e-16,4.021657543485889
fan_wang,0.7,0.20740740740740737,0.004,12.0,0.7961757960419368,-0.0006132641470695255,-1.939564163622176e-05,-0.0006132641470695255,0.14952479647552988,2.7473509869757606e-05,3.3306690738754696e-16,2.0383000842727483e-17,4.81140171115404
fan_wang,0.7,0.20740740740740737,0.004,14.0,0.7961782495704718,-0.0006132641368559177,-1.9993152397979053e-05,-0.0006132641368559177,0.14952539288844666,2.747350819720662e-05,1.2262814116578437e-15,4.0913371354252115e-17,5.605108354158207
fan_wang,0.7,0.20740740740740737,0.004,16.0,0.7961772448454754,-0.0006132641044587217,-2.2026754118664726e-05,-0.0006132641044587217,0.14952562281200837,2.747349782633579e-05,1.1102230246251565e-16,6.757772216618843e-17,6.401022707688397
fan_wang,0.7,0.20740740740740737,0.006,10.0,0.7961408080082686,-0.0009204676314444882,-4.3566459186017426e-05,-0.0009204676314444882,0.1495234488713512,4.123585681092834e-05,2.220446049250313e-16,5.204170427930421e-18,4.02270138665852
fan_wang,0.7,0.20740740740740737,0.006,12.0,0.7961499550090271,-0.0009204676115506238,-4.523667454592317e-05,-0.0009204676115506238,0.14952555575814852,4.123585712789701e-05,8.881784197001252e-16,1.734723475976807e-18,4.813124110956205
fan_wang,0.7,0.20740740740740737,0.006,14.0,0.7961462581380618,-0.0009204676345340168,-5.1984584807929224e-05,-0.0009204676345340168,0.14952625748714346,4.123585437987298e-05,8.95090418262362e-16,1.2509268882771003e-17,5.607749719677445
fan_wang,0.7,0.20740740740740737,0.006,16.0,0.7961241603825823,-0.000920467606817521,-7.511121701175849e-05,-0.000920467606817521,0.14952682354735164,4.1235853831755875e-05,9.155133597044475e-16,1.2162873585351636e-16,6.404861680779073
