ell_over_ell_ext,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_k_real,delta_k_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual
0.5,0.0,0.24749631053450952,nan,0.0,nan,0.0,0.0,0.0,0.24749631053450952,0.0,0.0,0.0
0.5,0.002,0.24749631053450952,-0.6100489375743737,0.0026956542890150853,-0.6097604895146952,0.0,-2.2869814931158604e-05,-0.0026956542890150853,0.24747344071957836,-0.0026956542890150853,1.8918042108569917e-09,2.6122367474143036e-09
0.5,0.004,0.24749631053450952,-0.6099815347268133,0.005393182301904225,-0.6097604895146952,0.0,-9.027266249146347e-05,-0.005393182301904225,0.24740603787201806,-0.005393182301904225,5.796328102552059e-08,8.003672463905712e-08
0.5,0.006,0.24749631053450952,-0.6098804241138117,0.008094459017421406,-0.6097604895146952,0.0,-0.00019138327549298335,-0.008094459017421406,0.24730492725901654,-0.008094459017421406,6.211674457597793e-07,8.577190064363843e-07
