omega_M,k_static_reference,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,metric_ratio_fit_rms,metric_ratio_static_fit_rms,delta_k_real,delta_k_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.002,3.083217838258707,-0.11313896182882836,0.00017946194183252268,-0.11310386572556794,0.0,9.072765259701463e-07,4.080377836723599e-07,-4.025405450181129e-05,-0.00017946194183252268,3.0831775842042055,-0.00017946194183252268,3.729426382516987e-09,5.149657975854841e-09,0.032
0.004,3.083217838258707,-0.11301938952146151,0.0003593207500555411,-0.11310386572556794,0.0,8.457816602394512e-07,4.080377836723599e-07,-0.0001598263618686652,-0.0003593207500555411,3.0830580118968385,-0.0003593207500555411,6.522428686666619e-08,9.006285005555597e-08,0.064
0.006,3.083217838258707,-0.11283121517673352,0.0005399732641906962,-0.11310386572556794,0.0,2.7719905225695276e-07,4.080377836723599e-07,-0.00034800070659675236,-0.0005399732641906962,3.0828698375521104,-0.0005399732641906962,6.338068951549435e-07,8.751717819337046e-07,0.096
