ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
0.8,0.6158402871356009,0.001,10.0,-0.22157532057747895,-0.0008940999635350388,-3.939344447173587e-06,-0.0008940999635350388,1.1692050831270437,0.0006091981216469478,1.3877787807814457e-17,2.237793284010081e-16,3.900944082933823
0.8,0.6158402871356009,0.001,12.0,-0.22157644065888238,-0.000894099965359274,-3.939660979557225e-06,-0.000894099965359274,1.1692332331998994,0.0006091981278464331,8.882868333007365e-16,1.9212062496443139e-16,4.699595582680745
0.8,0.6158402871356009,0.001,14.0,-0.22157680493613627,-0.0008940999646978309,-3.9399475096624226e-06,-0.0008940999646978309,1.1692408387197528,0.000609198111916065,2.2591401799415137e-16,3.4028890358970357e-16,5.498534114797814
0.8,0.6158402871356009,0.001,16.0,-0.2215769418124207,-0.0008940999626921992,-3.9402336726723775e-06,-0.0008940999626921992,1.1692433103660387,0.0006091981035796223,2.2247786310271853e-16,4.15959642382231e-16,6.297689065695369
0.8,0.6158402871356009,0.002,10.0,-0.22158713951935644,-0.0017884199125487166,-1.575828632466303e-05,-0.0017884199125487166,1.169180239059918,0.0012185508459534589,6.667118051786499e-16,7.064819758140363e-16,3.9011005020673832
0.8,0.6158402871356009,0.002,12.0,-0.2215882628193419,-0.0017884199132521539,-1.5761821439086443e-05,-0.0017884199132521539,1.1692083446648498,0.001218550855766054,1.1443916996305594e-16,1.9081958235744878e-17,4.69985068731005
0.8,0.6158402871356009,0.002,14.0,-0.22158863713397223,-0.00178841991456144,-1.5772145345621658e-05,-0.00178841991456144,1.169215933032719,0.0012185508637934106,2.2887833992611187e-16,7.516478952618266e-16,5.498923296038115
0.8,0.6158402871356009,0.002,16.0,-0.22158880790224367,-0.0017884199302043435,-1.5806323495626273e-05,-0.0017884199302043435,1.1692183990114313,0.0012185508710516046,3.3422138886441676e-16,1.1185402273152979e-15,6.298253237067365
0.8,0.6158402871356009,0.003,10.0,-0.22160684374993972,-0.0026831798872475887,-3.5462516907946995e-05,-0.0026831798872475887,1.169138831497847,0.0018282128193991554,2.220446049250313e-16,1.0408340855860843e-16,3.901361275150114
0.8,0.6158402871356009,0.003,12.0,-0.22160799387076097,-0.002683179890307197,-3.549287285814495e-05,-0.002683179890307197,1.1691668651893188,0.001828212816759489,0.0,3.8222221722961666e-16,4.700276033539632
0.8,0.6158402871356009,0.003,14.0,-0.22160847248364138,-0.002683179898222976,-3.560749501477223e-05,-0.002683179898222976,1.1691744328136222,0.0018282128176618784,4.449557262054371e-16,1.106753577673203e-15,5.4995722842690675
0.8,0.6158402871356009,0.003,16.0,-0.22160899689556635,-0.0026831798697760645,-3.59953168183047e-05,-0.0026831798697760645,1.1691769147788802,0.0018282127734430276,3.3306690738754696e-16,6.938893903907228e-17,6.299194185811737
0.8,0.6158402871356009,0.004,10.0,-0.22163445280042135,-0.0035786000150865305,-6.307156738957764e-05,-0.0035786000150865305,1.1690808602143683,0.002438338750508251,2.482534153247273e-16,1.0329400704738531e-15,3.901726513947184
0.8,0.6158402871356009,0.004,12.0,-0.22163573324744018,-0.0035786000127976947,-6.32322495373594e-05,-0.0035786000127976947,1.1691088032614,0.0024383387713200477,4.577566798522237e-16,8.287549495581296e-16,4.7008718790632855
0.8,0.6158402871356009,0.004,14.0,-0.22163673763415984,-0.003578600014816913,-6.387264553323058e-05,-0.003578600014816913,1.1691163780198721,0.002438338762654979,1.336885555457667e-15,7.987869494273747e-16,5.500481608535545
0.8,0.6158402871356009,0.004,16.0,-0.22163905292157793,-0.003578600019989997,-6.6051342829887e-05,-0.003578600019989997,1.1691189959936517,0.002438338870121015,1.2262814116578437e-15,5.729106481574546e-16,6.3005129061543785
0.8,0.6158402871356009,0.005,10.0,-0.22167001471841963,-0.0044749005591927515,-9.863348538785566e-05,-0.0044749005591927515,1.1690063276543565,0.003049083465139546,3.3306690738754696e-16,9.71445146547012e-17,3.9021963748799213
0.8,0.6158402871356009,0.005,12.0,-0.22167173739176055,-0.004474900561303841,-9.923639385772676e-05,-0.004474900561303841,1.1690341830712008,0.003049083498428473,2.2887833992611187e-16,4.0245584642661925e-16,4.701638584497708
0.8,0.6158402871356009,0.005,14.0,-0.22167454052140112,-0.004474900568813278,-0.00010167553277451447,-0.004474900568813278,1.1690418734565693,0.003049083441549527,3.3306690738754696e-16,4.3021142204224816e-16,5.501652009098942
0.8,0.6158402871356009,0.005,16.0,-0.22168298530301414,-0.004474900586966202,-0.00010998372426609948,-0.004474900586966202,1.1690449937451075,0.003049083352994586,2.220446049250313e-16,2.0816681711721685e-16,6.302210789090777
0.8,0.6158402871356009,0.006,10.0,-0.22171362725520877,-0.005372301980932637,-0.000142246022176995,-0.005372301980932637,1.1689152415195432,0.003660601939316166,1.012983452169639e-15,3.510833468576701e-16,3.902771058975801
0.8,0.6158402871356009,0.006,12.0,-0.2217165360624329,-0.0053723019841972475,-0.0001440350645300903,-0.0053723019841972475,1.1689430580513225,0.003660601962405252,6.866350197783356e-16,9.364165225365838e-16,4.702576613228081
0.8,0.6158402871356009,0.006,14.0,-0.22172417743965728,-0.005372301995138717,-0.0001513124510306718,-0.005372301995138717,1.168951141626919,0.0036606019769180875,2.2887833992611187e-16,5.551115123125783e-17,5.503084437036269
0.8,0.6158402871356009,0.006,16.0,-0.22174911324508464,-0.005372302002702667,-0.00017611166633660358,-0.005372302002702667,1.1689556539729322,0.0036606019873914875,1.5543122344752192e-15,1.1710090180710446e-15,6.304289621466904
