charge_ratio,control,control_value,frequency_M,damping_rate_M,absolute_complex_shift,relative_fit_residual
0.6,spacing,0.08,0.3797823748474185,0.08697299284683767,9.29038316681577e-06,0.007752232178655679
0.6,spacing,0.12,0.37981904900551117,0.08699214912021073,5.057866258302472e-05,0.007648099461388089
0.6,outer_radius,160.0,0.37976628532603735,0.08696262517410423,9.883616244448577e-06,0.007838086219635441
0.6,outer_radius,220.0,0.37977468124678476,0.08696737482092941,2.373623352924549e-07,0.007807447838337695
0.6,horizon_offset,5e-09,0.37969709468629204,0.0869206337587065,9.081549001639941e-05,0.008121613978091165
0.6,horizon_offset,2e-08,0.3797097713370515,0.08693137479019343,7.44619541552227e-05,0.008060424208673736
0.6,fit_window_start,55.0,0.3784555088172166,0.0848700513017983,0.0024779073280254693,0.011916711430025732
0.6,fit_window_start,65.0,0.3796918834678798,0.08765076454519849,0.0006882931151331755,0.008728336623114685
0.6,fit_window_start,70.0,0.3786787878973507,0.0868059070622292,0.0011079449682639977,0.009594031535140464
0.9,spacing,0.08,0.38835838328670386,0.08328128991729615,0.00012510333290221615,0.023261941456503326
0.9,spacing,0.12,0.3884646008996667,0.0832770621244495,1.8834612982217258e-05,0.023321526594726808
0.9,outer_radius,160.0,0.38846643144304654,0.08327580805577214,1.6916824753672433e-05,0.02333906484282996
0.9,outer_radius,220.0,0.3884792867136934,0.08327526360919758,4.050049402500749e-06,0.023346558744537248
0.9,horizon_offset,5e-09,0.38835493294017953,0.08328295630371914,0.00012864049863974277,0.023250709167137482
0.9,horizon_offset,2e-08,0.38849448704950906,0.08327466287005487,1.116215423842688e-05,0.023354547934952757
0.9,fit_window_start,55.0,0.3883219901993018,0.07991718664109498,0.003361793866036569,0.027025199982384417
0.9,fit_window_start,65.0,0.3866297126834971,0.0820392046073764,0.002227860993297653,0.0333123391192707
0.9,fit_window_start,70.0,0.3868047156214046,0.07921377539388459,0.004394561372452875,0.029481947256220237
0.97,spacing,0.08,0.38914392563891725,0.08201792249439831,0.00011981277441995206,0.03021674444914695
0.97,spacing,0.12,0.3892062225606614,0.08200067315489039,5.5408765221753315e-05,0.030214377826699664
0.97,outer_radius,160.0,0.3890946438413712,0.08203722504195242,0.00017270272616810547,0.03026188496441105
0.97,outer_radius,220.0,0.3892581141094025,0.08197903788450378,8.148820227941255e-07,0.03022161887031023
0.97,horizon_offset,5e-09,0.38919259928780797,0.08200364090735066,6.916798819700367e-05,0.030202637019512455
0.97,horizon_offset,2e-08,0.3892434436149174,0.08198386272648854,1.4628644496171514e-05,0.03022308645907935
0.97,fit_window_start,55.0,0.39061601046792355,0.07973170598303647,0.0026263337834165697,0.03245695484072561
0.97,fit_window_start,65.0,0.38752779448782815,0.07824277618222322,0.0041173873602881024,0.04121432546902752
0.97,fit_window_start,70.0,0.390617819329623,0.07477225858636098,0.007334319095789057,0.03638345948013682
