omega_M,k_static_reference,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,metric_ratio_fit_rms,metric_ratio_static_fit_rms,delta_k_real,delta_k_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.002,0.007945946367823324,-0.9174954332711375,0.003992590526694116,-0.9171150349951105,0.0,7.503570350929006e-06,5.821131270032878e-07,-1.6701730216738433e-05,-0.003992590526694116,0.007929244637606586,-0.003992590526694116,1.4336414468478042e-09,1.979597491396312e-09,0.032
0.004,0.007945946367823324,-0.9174465414139078,0.00798759301415598,-0.9171150349951105,0.0,7.448744419726756e-06,5.821131270032878e-07,-6.559358744689092e-05,-0.00798759301415598,0.007880352780376434,-0.00798759301415598,5.625932437272378e-08,7.768387112550658e-08,0.064
0.006,0.007945946367823324,-0.9173763268545035,0.01198742073004954,-0.9171150349951105,0.0,6.88639375478016e-06,5.821131270032878e-07,-0.00013580814685147273,-0.01198742073004954,0.007810138220971851,-0.01198742073004954,6.1860996657141e-07,8.541875938946925e-07,0.096
