omega_M,match_radius_over_M,response_real,response_imag,static_response_real,correction_real,correction_imag,em_response_real,em_response_imag,basis_condition_number
0.002,10.0,-0.9167823914837625,0.003992591755793071,-0.9167990977902929,1.6706306530389625e-05,0.003992591755793071,-0.007052551540031185,0.0009569398984946942,3.9801611177220666
0.002,12.0,-0.9169969149261454,0.003992591377544222,-0.9170136277946906,1.6712868545210036e-05,0.003992591377544222,-0.006507317983394509,0.0009569411369435006,4.795460055284522
0.002,14.0,-0.9170744701555084,0.003992591321715894,-0.9170911896445935,1.6719489085104122e-05,0.003992591321715894,-0.006253711971658404,0.0009569414017400514,5.606548992174765
0.002,16.0,-0.917107002347084,0.00399259131036768,-0.917123746371852,1.6744024768033938e-05,0.00399259131036768,-0.006122849284021077,0.0009569414836222767,6.414981530492668
0.004,10.0,-0.9167322525975686,0.007987595469732364,-0.9167990977902929,6.684519272426304e-05,0.007987595469732364,-0.007113437819372731,0.001914406336414212,3.980833141752195
0.004,12.0,-0.9169466376470408,0.007987594713421628,-0.9170136277946906,6.699014764988132e-05,0.007987594713421628,-0.006570446900078214,0.001914408815737012,4.796551931312939
0.004,14.0,-0.9170236936743094,0.007987594603673959,-0.9170911896445935,6.749597028410381e-05,0.007987594603673959,-0.006318273989499787,0.001914409337601476,5.60820761142497
0.004,16.0,-0.9170545369111378,0.007987594581022134,-0.917123746371852,6.920946071420353e-05,0.007987594581022134,-0.006188463918226792,0.0019144094752991435,6.4173760217858105
0.006,10.0,-0.9166484633409266,0.011987424418674758,-0.9167990977902929,0.00015063444936624926,0.011987424418674758,-0.0072149191228620645,0.0028729260885868952,3.9819545356290917
0.006,12.0,-0.9168615096259015,0.011987423290673427,-0.9170136277946906,0.0001521181687891282,0.011987423290673427,-0.0066757172355884995,0.002872929812505921,4.798374814732652
0.006,14.0,-0.9169332621458675,0.01198742312960313,-0.9170911896445935,0.0001579274987260071,0.01198742312960313,-0.006426199209425668,0.0028729305565149835,5.61097825883232
0.006,16.0,-0.9169462263846276,0.011987423117894802,-0.917123746371852,0.00017751998722437268,0.011987423117894802,-0.006299167998863922,0.0028729307908774934,6.421378539763695
