model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition
hayward,0.6,0.4618802153517006,0.002,0.08293660719972173,-3.9444167686446804e-05,-0.0046503717327662135,0.08289716303203529,-0.0046503717327662135,1.1731871001584724e-09,1.6199575183490767e-09,0.032,33.94112438974985,8.485147366944483
hayward,0.6,0.4618802153517006,0.004,0.08293660719972173,-0.00015623496876798575,-0.009304184515965418,0.08278037223095375,-0.009304184515965418,6.97074949499307e-08,9.625334314889358e-08,0.064,33.94112438974985,8.485147366944483
hayward,0.6,0.4618802153517006,0.006,0.08293660719972173,-0.00033651063043444167,-0.01396488137189631,0.0826000965692873,-0.01396488137189631,7.899991791034609e-07,1.0908448528839853e-06,0.096,33.94112438974985,8.485147366944483
