model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.6,0.4618802153517006,0.002,10.0,0.0828870467392916,-0.004650371759640004,-3.946423236721175e-05,-0.004650371759640004,0.07491790659189297,0.00013041239687855422,4.443059973708341e-16,1.6073297207097603e-17,3.8600712989796766
hayward,0.6,0.4618802153517006,0.002,12.0,0.08289837770315045,-0.004650371750618984,-3.946849486369253e-05,-0.004650371750618984,0.07492264302648359,0.00013041239660882206,2.2247786310271853e-16,1.1606313360255671e-17,4.662885456861198
hayward,0.6,0.4618802153517006,0.002,14.0,0.0829014761140714,-0.004650371751177135,-3.9478907869025526e-05,-0.004650371751177135,0.07492397546703247,0.00013041239638061225,1.3877787807814457e-17,7.946220091237621e-18,5.464659414263295
hayward,0.6,0.4618802153517006,0.002,16.0,0.08290246854418541,-0.004650371750629739,-3.95128906998804e-05,-0.004650371750629739,0.07492442400935709,0.00013041239583314046,0.0,9.087270115126198e-19,6.265893935373488
hayward,0.6,0.4618802153517006,0.004,10.0,0.08276862312986132,-0.009304184552053174,-0.00015788784179750215,-0.009304184552053174,0.07492282203910869,0.0002609245977122851,2.7755575615628914e-17,1.7973246856076752e-17,3.8606865295468995
hayward,0.6,0.4618802153517006,0.004,12.0,0.08277979611449578,-0.009304184534782822,-0.0001580500835183657,-0.009304184534782822,0.07492755551281148,0.00026092459747457247,0.0,1.452830911130576e-17,4.663891734368222
hayward,0.6,0.4618802153517006,0.004,14.0,0.08278226848025422,-0.009304184536550825,-0.00015868654168621488,-0.009304184536550825,0.07492888801285272,0.00026092459772178445,2.237726045655905e-16,9.16455516466852e-18,5.466198094610449
hayward,0.6,0.4618802153517006,0.004,16.0,0.08278112748695177,-0.00930418452443954,-0.0001608539479335258,-0.00930418452443954,0.07492934033283283,0.0002609245958307971,1.1188630228279524e-16,5.062190913816454e-18,6.268128553742763
hayward,0.6,0.4618802153517006,0.006,10.0,0.08257095911204526,-0.013964881468767731,-0.0003555518596135565,-0.013964881468767731,0.07493101792862673,0.00039163647243012356,5.551115123125783e-17,3.903127820947816e-18,3.8617130659220718
hayward,0.6,0.4618802153517006,0.006,12.0,0.08258051488082552,-0.013964881446421162,-0.000357331317188625,-0.013964881446421162,0.07493574997350416,0.000391636472165488,0.0,1.939479807224432e-18,4.665571532793832
hayward,0.6,0.4618802153517006,0.006,14.0,0.08257639498286246,-0.013964881448266131,-0.00036456003907797685,-0.013964881448266131,0.07493709528621179,0.00039163647228766807,2.2887833992611187e-16,6.5052130349130266e-18,5.468768061777226
hayward,0.6,0.4618802153517006,0.006,16.0,0.08255275106139917,-0.013964881470266421,-0.00038923037348612133,-0.013964881470266421,0.074937593196955,0.0003916364759166263,2.220446049250313e-16,2.3915445455522928e-17,6.2718632803396694
