model,ell_over_ell_ext,peak_omega_M,peak_abs,relative_peak_response_change
bardeen,0.6,0.575,1.090135700723249,0.0007603161261517867
bardeen,0.9,0.6375,1.1756422584524413,0.001543091010946945
bardeen,0.97,0.6625,1.2240513380646474,0.001994759104602902
hayward,0.6,0.4875,1.106272140220589,0.001065929593179338
hayward,0.9,0.60625,1.1255802524821614,0.0007252945858647831
hayward,0.97,0.6125,1.1519254090961015,0.0009066922797809392
fan_wang,0.6,0.50625,1.1830132194270964,0.0013890310148778572
fan_wang,0.9,0.5375,1.6463741696337884,0.0018913723740650752
fan_wang,0.97,0.55,1.9927669124994052,0.0022592177417319757
