omega_M,match_radius_over_M,response_real,response_imag,static_response_real,correction_real,correction_imag,em_response_real,em_response_imag,basis_condition_number
0.002,10.0,-0.9839773172430689,0.004267086643166891,-0.9839931028251757,1.578558210679759e-05,0.004267086643166891,-6.213273126615217e-08,5.10289702953021e-08,3.9732374864858997
0.002,12.0,-0.9842061556674432,0.004267086203289944,-0.9842219389911561,1.578332371288127e-05,0.004267086203289944,-3.2782580687039575e-08,5.102903960431458e-08,4.78954564828378
0.002,14.0,-0.9842885757554021,0.004267086137484097,-0.9843043610379199,1.5785282517777333e-05,0.004267086137484097,-1.9198587080503483e-08,5.102905322533659e-08,5.601164410829293
0.002,16.0,-0.9843230401437308,0.004267086123735032,-0.9843388473488168,1.5807205085982545e-05,0.004267086123735032,-1.2218604826578853e-08,5.102905677364911e-08,6.409911006990877
0.004,10.0,-0.9839299409858094,0.008536690215514148,-0.9839931028251757,6.316183936627695e-05,0.008536690215514148,-6.54594964496695e-08,1.0208534637186535e-07,3.973908791441611
0.004,12.0,-0.9841586672635888,0.008536689335834957,-0.9842219389911561,6.327172756726007e-05,0.008536689335834957,-3.6230334353797014e-08,1.0208548463021333e-07,4.790636212256174
0.004,14.0,-0.984240601321341,0.008536689205947856,-0.9843043610379199,6.375971657890389e-05,0.008536689205947856,-2.2723501752863168e-08,1.0208551325662228e-07,5.602821153563406
0.004,16.0,-0.9842733827681031,0.008536689183909166,-0.9843388473488168,6.546458071376993e-05,0.008536689183909166,-1.579983650487716e-08,1.0208552012340425e-07,6.412303039040551
0.006,10.0,-0.9838507569795029,0.012811328987560933,-0.9839931028251757,0.00014234584567285324,0.012811328987560933,-7.10043233482708e-08,1.5319654490987502e-07,3.9750289841823716
0.006,12.0,-0.9840781857073716,0.01281132767518639,-0.9842219389911561,0.00014375328378446461,0.01281132767518639,-4.197935721195739e-08,1.531967523333423e-07,4.792456903930738
0.006,14.0,-0.984154831226339,0.012811327486453,-0.9843043610379199,0.00014952981158089518,0.012811327486453,-2.8614468779873688e-08,1.5319679525873327e-07,5.605588664807435
0.006,16.0,-0.984169726507202,0.012811327463182393,-0.9843388473488168,0.00016912084161480045,0.012811327463182393,-2.183589108979676e-08,1.5319680989698331e-07,6.41630144423592
