omega_M,k_static_reference,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,metric_ratio_fit_rms,metric_ratio_static_fit_rms,delta_k_real,delta_k_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.002,4.754220920344943e-12,-0.9847379138453404,0.004267085213571135,-0.9843280577470465,0.0,8.055775142038304e-06,6.373863104719913e-07,-1.5751753580981994e-05,-0.004267085213571135,-1.5751748826761075e-05,-0.004267085213571135,1.356209667151693e-09,1.872678319092641e-09,0.032
0.004,4.754220920344943e-12,-0.9846918732175834,0.008536687351248256,-0.9843280577470465,0.0,8.001180796685376e-06,6.373863104719913e-07,-6.179238133785895e-05,-0.008536687351248256,-6.179237658363803e-05,-0.008536687351248256,5.5950200812754694e-08,7.725702784110432e-08,0.064
0.006,4.754220920344943e-12,-0.98462641867341,0.012811324707285635,-0.9843280577470465,0.0,7.438992098870546e-06,6.373863104719913e-07,-0.00012724692551186695,-0.012811324707285635,-0.00012724692075764604,-0.012811324707285635,6.18138868746929e-07,8.535370936781772e-07,0.096
