omega_M,k_static_reference,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,metric_ratio_fit_rms,metric_ratio_static_fit_rms,delta_k_real,delta_k_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual,maximum_omega_r
0.002,3.626768189029337,-0.09551168162858499,3.4999797958444426e-05,-0.09556850228438796,0.0,8.613164636759776e-07,5.79875174878916e-07,-4.061355517060082e-05,-3.4999797958444426e-05,3.6267275754741664,-3.4999797958444426e-05,4.705552922231762e-09,6.4975107835370065e-09,0.032
0.004,3.626768189029337,-0.09539099500409005,7.023811664738849e-05,-0.09556850228438796,0.0,9.228835858922087e-07,5.79875174878916e-07,-0.00016130017966549975,-7.023811664738849e-05,3.6266068888496714,-7.023811664738849e-05,6.627113096968463e-08,9.150835092663043e-08,0.064
0.006,3.626768189029337,-0.09520097876405996,0.00010594022140302922,-0.09556850228438796,0.0,1.4927000048038444e-06,5.79875174878916e-07,-0.0003513164196956394,-0.00010594022140302922,3.6264168726096413,-0.00010594022140302922,6.360872431223998e-07,8.783205267791663e-07,0.096
