model,ell_over_ell_ext,ell,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
fan_wang,0.95,0.28148148148148144,0.001,10.0,2.050486747799822,-1.6727366798363619e-06,4.857261033386351e-07,-1.6727366798363619e-06,0.422648541567003,9.242925358421417e-08,7.549516567451064e-15,1.2964084244680276e-16,4.06189060747148
fan_wang,0.95,0.28148148148148144,0.001,12.0,2.050500293834357,-1.672742406810812e-06,4.847388299644706e-07,-1.672742406810812e-06,0.4226514389207655,9.243594778496345e-08,1.49034777359612e-14,3.2312571768040615e-16,4.846780870399431
fan_wang,0.95,0.28148148148148144,0.001,14.0,2.0505041296868414,-1.6727938891847316e-06,4.837148837033567e-07,-1.6727938891847316e-06,0.4226522595871861,9.243691767579776e-08,2.243090158935384e-14,1.7332110051208823e-15,5.636925414289876
fan_wang,0.95,0.28148148148148144,0.001,16.0,2.0505054271574426,-1.672661941398701e-06,4.824951491677609e-07,-1.672661941398701e-06,0.42265253750942977,9.245241461286469e-08,2.1538326677728037e-14,1.6774776012695725e-15,6.42988425949708
fan_wang,0.95,0.28148148148148144,0.002,10.0,2.0504882019707344,-3.346214761279498e-06,1.9398970159123508e-06,-3.346214761279498e-06,0.4226490738638008,1.8489634889817808e-07,5.551115123125783e-15,1.0665657779595561e-15,4.062045607449231
fan_wang,0.95,0.28148148148148144,0.002,12.0,2.050501742484159,-3.3462313666632326e-06,1.933388632302524e-06,-3.3462313666632326e-06,0.4226519703102356,1.8490922748526373e-07,1.1102230246251565e-14,6.036837696399289e-16,4.847037881292654
fan_wang,0.95,0.28148148148148144,0.002,14.0,2.0505055726097576,-3.345996610448765e-06,1.9266377999649364e-06,-3.345996610448765e-06,0.4226527912747857,1.8495601672441353e-07,1.1102230246251565e-15,9.383940104361568e-16,5.637320264267921
fan_wang,0.95,0.28148148148148144,0.002,16.0,2.0505068413550642,-3.34582595229449e-06,1.8966927708419234e-06,-3.34582595229449e-06,0.4226530689407916,1.8487038211389972e-07,9.103828801926284e-15,1.7694179454963432e-16,6.430458372799136
fan_wang,0.95,0.28148148148148144,0.003,10.0,2.0504906236792575,-5.0211286577450664e-06,4.361605538960589e-06,-5.0211286577450664e-06,0.42264996122150644,2.774375964520459e-07,8.326672684688674e-15,1.5265566588595902e-16,4.062304019276976
fan_wang,0.95,0.28148148148148144,0.003,12.0,2.0505041348137087,-5.021185060627431e-06,4.325718181874549e-06,-5.021185060627431e-06,0.42265285674464725,2.774503720104349e-07,1.790180836524724e-15,6.753223014464259e-16,4.847466413512841
fan_wang,0.95,0.28148148148148144,0.003,14.0,2.050507863293154,-5.021568938445853e-06,4.217321196264834e-06,-5.021568938445853e-06,0.4226536791115747,2.77503893642006e-07,3.774758283725532e-15,3.0531133177191805e-16,5.637978717563775
fan_wang,0.95,0.28148148148148144,0.003,16.0,2.050508808638858,-5.0216826252835745e-06,3.86397656448878e-06,-5.0216826252835745e-06,0.4226539639698763,2.775283434175435e-07,1.7410336091849973e-14,1.3092278833360675e-16,6.431415921408429
fan_wang,0.95,0.28148148148148144,0.004,10.0,2.0504939955356924,-6.698198390608923e-06,7.733461973913336e-06,-6.698198390608923e-06,0.4226512040856889,3.7010090281341945e-07,9.711754835274995e-15,9.50197851991224e-16,4.062665960728107
fan_wang,0.95,0.28148148148148144,0.004,12.0,2.0505073832702934,-6.6981996980075564e-06,7.57417476648925e-06,-6.6981996980075564e-06,0.422654100427744,3.700937902806345e-07,3.774758283725532e-15,2.0014830212433605e-16,4.848066738081796
fan_wang,0.95,0.28148148148148144,0.004,14.0,2.050510635037078,-6.698475587540997e-06,6.989065120421856e-06,-6.698475587540997e-06,0.4226549327269211,3.701053863380821e-07,1.7410336091849973e-14,1.4613910206823517e-15,5.638901328977623
fan_wang,0.95,0.28148148148148144,0.004,16.0,2.050509949676975,-6.698523066006601e-06,5.005014681813691e-06,-6.698523066006601e-06,0.4226552527678873,3.702486210954703e-07,4.440892098500626e-15,1.5126788710517758e-15,6.432757944524349
